English_Name,Chinese_Name,Gender,Alignment,Power_Type,Detailed_Power,MCU_Presence,Movie_Count,Primary_Team,Mentor_CN,Risk_Level,Social_Style
COLOSSUS II/PETER RA,钢力士/彼得·拉斯普廷,男,正派,变异,全身可转变为有机钢形态，拥有超强力量、防御力、耐力及自愈能力，免疫毒素和疾病。,否,0,X战警,X教授,3,团队核心
MARVEL GIRL/JEAN GRE,惊奇女孩/琴·葛蕾,女,正派,变异,拥有强大的心灵感应和念动力，能读取思想、控制物体、飞行，体内蕴含凤凰之力，可释放毁灭性能量。,否,0,X战警,X教授,9,团队核心
HERCULES [GREEK GOD],赫拉克勒斯,男,正派,神力,奥林匹斯神族赋予的超级力量、耐力、不朽寿命和战斗技巧，能举起超过100吨重物。,否,0,复仇者联盟,宙斯,8,豪迈直率
"JARVIS, EDWIN",埃德温·贾维斯,男,正派,格斗,无超能力，但具备出色的管家技能、格斗技巧、忠诚品质和危机处理能力，是霍华德·斯塔克的得力助手。,是,2,斯塔克家族/神盾局,霍华德·斯塔克,1,忠诚管家
SUB-MARINER/NAMOR MA,纳摩/纳摩·麦肯齐,男,中立,变异,亚特兰蒂斯混血，水下呼吸、超强力量、飞行、长寿，能控制海洋生物。,是,1,亚特兰蒂斯王国,无明确核心导师,7,孤傲/王者风范
DAREDEVIL/MATT MURDO,夜魔侠/马修·默多克,男,正派,变异,因放射性物质导致双目失明，但其他感官超常增强，拥有雷达般的感知能力和卓越的格斗技巧。,是,0,捍卫者联盟,棍叟,4,双重身份
ICEMAN/ROBERT BOBBY,冰人/罗伯特·路易斯·德雷克,男,正派,变异,欧米伽级变种人，能操控冰与冷，将身体转化为冰形态，制造冰结构，控制温度。,否,0,X战警,X教授,7,团队核心
"FURY, COL. NICHOLAS",尼克·弗瑞,男,正派,科技,无超能力，依靠顶尖格斗技巧、战略头脑、高科技装备（如隐形战机、能量武器）及神盾局资源指挥全球行动。,是,约10部,神盾局,无明确核心导师,8,团队核心/孤傲/双重间谍
BLACK WIDOW/NATASHA,黑寡妇/娜塔莎·罗曼诺夫,女,正派,格斗,经过红房训练的世界顶级特工，精通多种格斗术、武器使用和间谍技巧，无超能力但身体素质远超常人。,是,8,复仇者联盟,克林特·巴顿（鹰眼）,7,双重间谍
"JAMESON, J. JONAH",J·乔纳·詹姆森,男,中立,格斗,无超能力，作为《号角日报》主编，拥有强大的媒体影响力、商业头脑和格斗技巧。,是,约5部,号角日报,无,2,固执/偏执/媒体操控者
QUICKSILVER/PIETRO M,快银/皮特罗·马克西莫夫,男,正派,变异,拥有超音速移动能力，反应速度极快，可制造冲击波和在水面奔跑。,是,2,复仇者联盟,万磁王,4,急躁冲动
NIGHTCRAWLER/KURT WA,夜行者/科特·瓦格纳,男,正派,变异,拥有瞬间传送能力，可在视线范围内或记忆地点间传送，伴有烟雾和硫磺味；具备超强敏捷性、攀爬能力和夜视能力，尾巴可用于抓握和战斗。,否,2,X战警,X教授,3,虔诚友善
ROGUE / Anna Marie,罗刹女 / 安娜·玛丽,女,正派,变异,通过皮肤接触吸收他人生命能量、记忆与超能力，可暂时或永久获得对方能力，但接触过程对双方均有风险。,否,0,X战警,暴风女,7,孤傲/团队核心
"WATSON-PARKER, MARY",玛丽·简·沃森-帕克,女,正派,格斗,无超能力，但具备出色的格斗技巧、勇气和领导力，是蜘蛛侠的重要支持者。,否,0,蜘蛛侠相关团队,无,2,团队核心
HAVOK/ALEX SUMMERS,浩劫/亚历克斯·萨默斯,男,正派,变异,吸收宇宙能量并转化为强大的等离子爆炸，可从全身释放，需佩戴特殊制服控制能量。,否,0,X战警,查尔斯·泽维尔,6,责任感强/团队合作者
BLACK KNIGHT V/DANE,黑骑士五世/戴恩·惠特曼,男,正派,魔法/格斗,使用诅咒之剑乌木刃，拥有飞行、能量投射等魔法能力，精通中世纪格斗技巧。,是,1,复仇者联盟,黑骑士三世（珀西爵士）,4,孤傲/责任感强
QUASAR III/WENDELL V,类星体三世/温德尔·沃恩,男,正派,宇宙能量,通过量子手环操控量子能量，可飞行、发射能量束、创造能量场、进行星际旅行和能量吸收。,否,0,复仇者联盟,玛-维尔,4,团队核心
SHADOWCAT/KATHERINE,幻影猫/凯瑟琳·安妮·普莱德,女,正派,变异,身体可相位化，穿透固体物质，并携带他人或物体一同穿越。,否,0,X战警,X教授,3,团队核心
BLACK PANTHER/T'CHAL,黑豹/特查拉,男,正派,科技/神力,服用心形草后获得超人类体能、感官和敏捷性，并穿戴振金战衣提供防御和能量吸收释放能力。,是,5,复仇者联盟,特查卡,3,团队核心
CRYSTAL [INHUMAN],水晶,女,正派,变异,能操控土、火、水、风四大元素，通过泰瑞根迷雾觉醒的异人族能力。,否,0,异人族皇室/神奇四侠,黑蝠王,4,团队核心
PSYLOCKE/ELISABETH B,灵蝶/伊丽莎白·布拉多克,女,正派,变异,拥有心灵感应、心灵操控能力，能生成精神能量武器，具备超强格斗技巧。,否,0,X战警,X教授,6,孤傲
NOVA/RICHARD RIDER,新星/理查德·赖德,男,正派,宇宙能量,通过新星头盔获得宇宙能量，拥有飞行、超强力量、能量发射、超光速飞行和能量吸收等能力。,否,0,新星军团,罗曼·戴,6,团队核心
SILVER SURFER/NORRIN,银影侠/诺林·拉德,非人类,中立,宇宙能量,通过宇宙能量操控冲浪板飞行，吸收并释放宇宙能量，拥有超强力量和再生能力，能穿越太空。,否,0,无固定阵营,行星吞噬者,8,孤傲
DR. DOOM/VICTOR VON,毁灭博士/维克多·冯·杜姆,男,反派,科技/魔法,精通科技与魔法，拥有高科技装甲、能量发射、力场护盾、时间旅行等能力，是拉托维尼亚的独裁者。,否,0,无固定阵营（常作为反派或独立势力）,无明确核心导师,10,孤傲/独裁者
"ROBERTSON, JOE",乔·罗伯逊,男,正派,格斗,无超能力，作为《号角日报》主编，凭借新闻调查、领导力和坚定道德立场影响事件。,否,0,号角日报,无,1,正直坚定
CANNONBALL II/SAM GU,加农炮二世/山姆·顾,男,正派,变异,变种人能力，能够以超音速飞行并产生保护性力场，冲击力巨大。,否,0,X战警,X教授,4,团队核心
"RICHARDS, FRANKLIN B",富兰克林·本杰明·理查兹,男,正派,宇宙能量,拥有近乎无限的现实扭曲能力，可创造口袋宇宙、操控时空、重塑物质与能量，是漫威宇宙中最强大的变种人之一。,否,0,神奇四侠,里德·理查兹,10,天真但强大
FIRESTAR/ANGELICA JO,火星/安吉莉卡·乔,女,正派,变异,能够生成并控制微波辐射，产生高热、火焰和能量冲击，可飞行并免疫自身热量。,否,0,X战警,X教授,4,团队合作者
GAMBIT/REMY LEBEAU,牌皇/雷米·勒博,男,正派,变异,能将动能注入物体使其爆炸，擅长使用扑克牌和长棍作为武器，拥有超强敏捷和格斗技巧。,否,0,X战警,暂无明确核心导师,5,魅力四射/亦正亦邪
"CAGE, LUKE/CARL LUCA",卢克·凯奇/卡尔·卢卡斯,男,正派,变异,皮肤和骨骼经过化学实验强化，拥有刀枪不入的防御力、超人的力量和耐力，能承受爆炸和重击。,是,0,捍卫者联盟,无,4,团队核心
NAMORITA/NITA PRENTI,纳摩丽塔/妮塔·普伦蒂,女,正派,变异,亚特兰蒂斯混血，拥有水下呼吸、超强力量、速度、耐力，以及飞行能力。,否,0,新勇士,纳摩,4,团队核心
USAGENT/CAPTAIN JOHN,美国特工/约翰·沃克,男,正派/反派（角色有转变）,科技/格斗,通过超级士兵血清获得增强的力量、速度、耐力和反应能力，精通格斗技巧和武器使用。,是,1（主要在剧集《猎鹰与冬兵》中）,美国政府/雷霆特工队,史蒂夫·罗杰斯（美国队长）,6,双重间谍/荣誉驱动
"SUMMERS, NATHAN CHRI",镭射眼/斯科特·萨默斯,男,正派,变异,双眼可发射高能红色冲击光束，需佩戴特殊眼镜或面罩控制。,否,0,X战警,X教授,4,团队核心
SERSI/SYLVIA,西尔维,女,反派,魔法,精通黑暗魔法，能操控能量、制造幻象、进行精神攻击，拥有强大的魔法战斗能力。,否,0,无固定阵营,无,7,孤傲
MOONDRAGON/HEATHER D,月龙/希瑟·道格拉斯,女,正派,宇宙能量,拥有强大的心灵感应、心灵控制、能量投射、飞行及精神攻击能力，能操控宇宙能量进行战斗。,否,0,银河护卫队,灭霸,7,孤傲
POLARIS/LORNA DANE,北极星/洛娜·戴恩,女,正派,变异,拥有操控磁场的变种人能力，可控制金属、飞行、生成电磁脉冲，是万磁王的女儿。,否,0,X战警,万磁王,6,孤傲
IRON FIST/DANIEL RAN,铁拳/丹尼尔·兰德,男,正派,格斗,通过昆仑训练获得铁拳之力，能将气集中在拳头上释放出超自然能量，精通武术和格斗技巧。,否,0,捍卫者联盟,雷公,4,孤傲
FALCON/SAM WILSON,猎鹰/山姆·威尔逊,男,正派,科技,通过高科技飞行翼套装进行高速飞行，配备微型导弹、机枪等武器，并可与鸟类心灵感应沟通。,是,7,复仇者联盟,美国队长,3,团队核心
"COOPER, DR. VALERIE",瓦莱丽·库珀博士,女,正派,科技,无超能力，但作为政府官员和科学家，擅长超人类事务管理与科技研发，拥有高级情报分析能力。,否,0,美国政府超人类事务部门,无,2,理性务实
"JONES, RICHARD MILHO",理查德·米尔豪·琼斯,男,反派,变异,拥有超强再生能力，可快速愈合伤口，身体组织能抵抗极端伤害，但无法完全免疫致命攻击。,否,0,无固定阵营,无,4,孤傲
BINARY/CAROL DANVERS,二进制/卡罗尔·丹弗斯,女,正派,宇宙能量,吸收并操控白洞能量，拥有超光速飞行、能量投射、宇宙感知等能力，可进入二进制状态大幅增强力量。,是,4,复仇者联盟,玛·威尔,9,团队核心
WOLFSBANE/RAHNE SINC,狼毒/拉赫妮·辛克,女,正派,变异,变种人，能变身为狼或半狼形态，拥有超强力量、速度、敏捷和感官，以及快速自愈能力。,否,0,X战警,X教授,3,忠诚可靠
THUNDERSTRIKE/ERIC K,雷霆打击/埃里克·K,男,正派,神力,通过雷神之锤获得超人的力量、耐力、飞行能力，并能操控雷电和风暴。,否,0,复仇者联盟,索尔（雷神）,3,团队核心
CAPTAIN MARVEL II/MO,惊奇队长II/莫妮卡·兰博,女,正派,宇宙能量,吸收并操控各种形式的电磁能量，可转化为光能、热能、动能，实现飞行、能量投射、隐形、相位穿越等能力。,是,2,复仇者联盟,卡罗尔·丹弗斯,4,团队核心
MAGNETO/MAGNUS/ERIC,万磁王/马克斯·艾森哈特/埃里克·兰谢尔,男,反派/中立,变异,能够操控磁场和金属，包括飞行、制造力场、控制铁元素等，是欧米茄级变种人。,否,约10部（主要在X战警系列电影中）,X战警（曾短暂加入）/变种人兄弟会,无明确核心导师，但查尔斯·泽维尔（X教授）是其重要对手和思想影响者。,9,孤傲/激进领袖
UATU,观察者乌阿图,非人类,中立,宇宙能量,拥有全知视角，能观察多元宇宙事件，但受誓言约束不得干预，具备超强防御和能量投射能力。,是,1,观察者,无,2,孤傲
MOCKINGBIRD/DR. BARB,仿声鸟/芭芭拉·莫尔斯,女,正派,格斗,精通多种格斗术，擅长使用战斗棍，具备出色的间谍技能和战术分析能力。,否,0,神盾局,尼克·弗瑞,4,双重间谍
SUNSPOT/ROBERTO DACO,太阳黑子/罗伯托·达科斯塔,男,正派,变异,吸收太阳能转化为超强力量、飞行和热能释放，在阳光下能力增强，黑暗环境减弱。,否,0,X战警/新变种人,X教授,4,团队核心/自信
TIGRA/GREER NELSON,虎女/格里尔·纳尔逊,女,正派,变异,拥有猫科动物的超强感官、敏捷、力量、利爪和平衡能力，以及部分魔法抗性。,否,0,复仇者联盟,汉克·皮姆,3,团队核心
SPEEDBALL/ROBBIE BAL,速球/罗比·鲍德温,男,正派,变异,通过接触零物质获得能力，能产生动能场，吸收冲击并反弹，高速移动和跳跃。,否,0,新勇士,无,4,冲动易怒
BANSHEE/SEAN CASSIDY,嚎叫/肖恩·卡西迪,男,正派,变异,拥有超音速声波能力，可发出破坏性声波攻击、进行声波飞行和回声定位。,否,0,X战警,X教授,3,团队核心
"DUGAN, TIMOTHY ALOYI",蒂莫西·阿洛伊·杜根,男,正派,格斗,前美国陆军上校，神盾局高级特工，精通格斗、枪械和战术指挥，无超能力但经验丰富。,是,1,神盾局,尼克·弗瑞,3,忠诚可靠
"NELSON, FRANKLIN FOG",富兰克林·福格·纳尔逊,男,正派,格斗,作为夜魔侠的挚友兼法律合伙人，他是一名优秀的律师，没有超能力，但具备出色的法律素养、坚定的正义感和对朋友的忠诚。,是,0,尼尔森与默多克律师事务所,无,2,团队核心
JUSTICE II/VANCE AST,正义二世/万斯·阿斯特,男,正派,变异,能够操纵动能，包括吸收、储存和释放动能，用于增强力量、速度或发射能量冲击波。,否,0,新勇士,夜鸫,4,团队核心
"PARKER, MAY",梅·帕克,女,正派,格斗,无超能力，但具备出色的格斗技巧和战斗经验，常作为蜘蛛侠彼得·帕克的精神支柱和家庭支持者。,是,3,无核心阵营,无,1,家庭核心
PUNISHER II/FRANK CA,惩罚者II/弗兰克·卡索,男,正派,格斗,无超能力，依靠顶尖军事训练、战术头脑、武器精通和坚韧意志进行战斗，擅长使用各种枪械和近身格斗。,否,0,独立行动/偶尔与神盾局合作,无固定导师,7,孤傲
DR. DRUID/ANTHONY LU,德鲁伊德博士/安东尼·卢,男,正派,魔法,精通古代德鲁伊魔法，能操控自然元素、进行预言占卜、施展精神控制和心灵感应。,否,0,复仇者联盟,梅林,4,神秘学者
FORGE,锻造者,男,正派,科技,拥有与生俱来的发明创造天赋，能快速理解并制造任何科技设备，尤其擅长武器和机械装置。,否,0,X战警,X教授,4,孤傲
IRON MAN IV/JAMES R.,钢铁侠四代/詹姆斯·R·罗兹,男,正派,科技,穿着高科技装甲，具备飞行、能量炮、超强防御和战术分析能力，装甲由斯塔克工业技术升级。,否,0,复仇者联盟,托尼·斯塔克,3,团队核心
CAPTAIN BRITAIN/BRIA,英国队长/布里亚,女,正派,魔法/神力,通过魔法护身符获得超人类力量、耐力、飞行能力，并能操控能量进行攻击和防御。,否,0,英国队长军团/复仇者联盟,梅林,4,团队核心/坚韧果敢
STARFOX/EROS,星狐/厄洛斯,男,正派,神力,永恒族成员，拥有飞行、超强力量、耐力，并能通过接触激发他人愉悦感，影响情绪。,是,1,永恒族,阿贾克,3,魅力型/享乐主义
SASQUATCH/WALTER LAN,大脚怪/沃尔特·兰,男,正派,变异,可变为巨大、毛茸茸的类人生物，拥有超强力量、耐力和再生能力，能抵御极端环境。,否,0,阿尔法战队,詹姆斯·麦克唐纳·哈德森（守护者）,4,团队核心
"MACTAGGERT, MOIRA KI",莫伊拉·金·麦克塔格特,女,正派,变异,拥有十次生命轮回的能力，每次死亡后会在出生时重生并保留所有记忆，可改变历史走向。,否,0,X战警,查尔斯·泽维尔,7,双重间谍
THUNDERBIRD II/JAMES,雷霆鸟二世/詹姆斯·普罗迪,男,正派,变异,拥有超人的力量、速度、耐力、感官和飞行能力，以及强大的能量吸收和释放能力。,否,0,X战警,X教授,4,团队核心
JUBILEE/JUBILATION L,欢欢/朱比莉,女,正派,变异,能够从双手发射出炫目的等离子能量球，产生爆炸和强光，并可通过情绪控制其强度。,否,0,X战警,金刚狼,3,活泼叛逆
MEDUSA/MEDUSALITH AM,美杜莎/美杜莎莉丝·阿姆,女,正派,变异,拥有超强力量、速度、耐力，并能通过意念控制头发，使其成为可自由伸缩、强度极高的武器。,否,0,异人族,黑蝠王,4,团队核心
BEETLE/ABNER RONALD,甲虫/阿布纳·罗纳德,男,反派,科技,身穿高科技装甲，具备飞行、能量武器、增强力量与防御能力，装甲可变形适应不同战斗环境。,否,0,邪恶大师,无,5,雇佣兵/机会主义者
KARNAK [INHUMAN],卡尔纳克,男,正派,变异,异人族，拥有超凡的洞察力，能发现任何物体或系统的弱点，并精准攻击使其失效。,是,1,异人族,黑蝠王,3,冷静理性
BLACK BOLT/BLACKANTO,黑蝠王/布莱克·博尔特,男,正派,变异,拥有通过声带释放毁灭性能量的能力，即使轻声细语也能造成巨大破坏，需长期保持沉默。,是,1,异人族皇室,阿贡,8,孤傲
WONG,王,男,正派,魔法,精通秘术魔法，能开启传送门、制造能量武器、操控元素，是卡玛泰姬的资深法师和图书管理员。,是,约5部,至尊法师/卡玛泰姬,古一,3,沉稳可靠
KINGPIN/WILSON FISK,金并/威尔逊·菲斯克,男,反派,格斗,无超能力，但拥有远超常人的体格、力量、格斗技巧和极高的智力，是纽约地下犯罪帝国的首领。,是,0,无固定阵营，常作为蜘蛛侠、夜魔侠等街头英雄的主要对手。,无,9,控制欲强/幕后操纵者/双重身份
MOON KNIGHT/MARC SPECTOR,月光骑士/马克·斯佩克特,男,正派,神力,在月光下获得超人类力量、速度、耐力，并拥有自愈能力，装备由埃及月神孔苏赋予的魔法战衣和武器。,是,0,午夜之子,孔苏,6,孤傲
GORGON [INHUMAN],戈耳工,男,正派,变异,拥有超强力量和耐力，双脚能引发地震波，是异人族皇室护卫队成员。,否,0,异人族皇室护卫队,黑蝠王,5,忠诚护卫
"MASTERS, ALICIA REIS",艾丽西亚·雷斯·马斯特斯,女,反派,科技,通过高科技装备增强体能和战斗技巧，擅长使用先进武器和战术分析，无超自然能力。,否,0,无固定核心阵营,无,3,孤傲
BOOMER/TABITHA SMITH,布姆/塔比莎·史密斯,女,反派,变异,能够从身体释放能量爆炸，通常表现为投掷能量球或制造冲击波，威力可调节。,否,0,地狱火俱乐部,塞巴斯蒂安·肖,4,叛逆
SCREAMING MIMI/MELIS,尖叫女妖/梅莉斯,女,反派,变异,拥有超强声波攻击能力，可发出破坏性音波，并具备一定格斗技巧和敏捷性。,否,0,邪恶大师,泽莫男爵,5,孤傲
MOONSTONE II/KARLA S,月光石二代/卡拉·索芬,女,反派,宇宙能量,通过月光石获得飞行、能量投射、密度操控、隐形和超强力量，能吸收并释放能量。,否,0,雷霆特工队,诺曼·奥斯本,7,野心勃勃/双重间谍
LOKI [ASGARDIAN],洛基,男,反派,魔法/神力,精通阿斯加德魔法，擅长幻术、变形、心灵控制，拥有超强体能和寿命，能使用宇宙魔方等神器。,是,6,无固定阵营（曾短暂领导齐塔瑞军队）,奥丁,9,诡计多端/双重间谍
SHAMAN/MICHAEL TWOYO,萨满/迈克尔·图约,男,正派,魔法,能够操控自然元素、进行灵魂旅行、施展治疗法术，并拥有强大的精神感知能力。,否,0,阿尔法飞行队,无明确核心导师,4,沉稳内敛
ODIN [ASGARDIAN],奥丁,男,正派,神力,拥有奥丁之力，可操控宇宙能量、施展强大魔法、预知未来，是阿斯加德的神王。,是,3,阿斯加德,无,8,威严领袖
BLOB/FRED J. DUKES,肉球/弗雷德·J·杜克斯,男,反派,变异,拥有超强密度和重量，身体几乎无法移动，能吸收冲击并反弹攻击，皮肤极其坚韧。,否,0,变种人兄弟会,万磁王,4,孤傲
POWER MAN/ERIK JOSTE,神力侠/埃里克·乔斯特,男,反派,变异,拥有超人的力量、耐力和抗击打能力，能举起重物并承受强大冲击。,否,0,无固定核心阵营,无,4,孤傲
TRITON,特里同,非人类,正派,变异,亚特兰蒂斯人，拥有水下呼吸、超强力量、速度、耐力，以及水下高速移动能力。,否,0,异人族,黑蝠王,3,忠诚护卫
NORTHSTAR/JEAN-PAUL,北极星/让-保罗·博利尔,男,正派,变异,变种人，能超音速飞行，发射强光，拥有超人类体能和反应速度。,否,0,X战警,X教授,3,孤傲
"LEEDS, BETTY BRANT",贝蒂·布兰特·利兹,女,正派,格斗,无超能力，作为记者和蜘蛛侠的盟友，具备调查能力和基础格斗技巧。,否,0,无固定核心阵营,无,1,调查型盟友
SPIDER-WOMAN II/JULI,蜘蛛女侠II/朱莉,女,正派,变异,拥有蜘蛛感应、超强力量与敏捷、手腕发射生物电蛛丝、爬墙能力，并具备飞行能力。,否,0,复仇者联盟,杰西卡·德鲁,4,团队核心
ANT-MAN II/SCOTT HAR,蚁人II/斯科特·朗,男,正派,科技,通过皮姆粒子战衣缩小或放大身体，控制蚂蚁，在亚原子尺度穿梭，拥有超强力量和敏捷性。,是,5,复仇者联盟,汉克·皮姆,3,团队核心
"URICH, BEN",本·尤里克,男,正派,格斗,无超能力，是经验丰富的调查记者，擅长挖掘真相和揭露腐败，具备出色的调查技巧和坚韧的品格。,否,0,无,无,1,正直坚韧
AURORA/JEANNE-MARIE,极光/珍妮-玛丽,女,正派,变异,拥有光速飞行、发射强光、制造光能爆炸和光能护盾的能力，并能通过光能影响他人情绪。,否,0,阿尔法战队,詹姆斯·麦克唐纳·赫德森,4,双重人格
"GYRICH, HENRY PETER",亨利·彼得·吉里奇,男,反派,科技,使用先进科技武器和装备，包括能量武器、飞行装置和防护服，无超能力但技术高超。,否,0,九头蛇,红骷髅,6,忠诚执行者
MIRAGE II/DANIELLE M,幻影二代/丹妮尔·M,女,正派,变异,能够投射逼真的三维全息影像，用于迷惑敌人、制造幻象和战术欺骗，影像具有触感和声音。,否,0,新变种人,幻影（米拉吉·圣约翰）,3,团队合作者
PHOENIX III/RACHEL S,凤凰三/瑞秋·萨默斯,女,正派,宇宙能量,拥有凤凰之力碎片，可操控宇宙能量、心灵感应、预知未来、能量投射及飞行。,否,0,X战警,琴·葛蕾,8,孤傲
GALACTUS/GALAN,行星吞噬者/加兰,非人类,中立,宇宙能量,拥有宇宙级力量，能吞噬行星能量维持生命，操控物质与能量，创造生命与宇宙实体。,否,0,无固定阵营,无,10,孤傲
MEPHISTO,墨菲斯托,非人类,反派,魔法,地狱维度领主，拥有强大的魔法、变形、操控灵魂、现实扭曲等能力，几乎不朽。,否,0,地狱领主,无,9,狡诈操纵者
MYSTIQUE/RAVEN DARKH,魔形女/瑞雯·达克霍姆,女,反派,变异,拥有变形能力，可以完美模仿任何人的外貌、声音和体型，具备超强自愈能力和格斗技巧。,否,约10部,X战警/变种人兄弟会,万磁王,7,双重间谍/孤傲
LOCKJAW [INHUMAN],锁齿狗,非人类,正派,变异,拥有心灵传送能力，能传送自身及他人，体型巨大但性格温顺，是异人族皇室宠物。,是,1,异人族皇室,黑蝠王,2,忠诚伙伴
"HUDSON, HEATHER",希瑟·哈德森,女,正派,科技,作为神盾局特工，拥有高级格斗技能、武器使用和战术分析能力，无超自然力量。,否,0,神盾局,尼克·弗瑞,3,忠诚可靠
WHITE QUEEN/EMMA FRO,白皇后/艾玛·弗罗斯特,女,正派/反派,变异,拥有强大的心灵感应能力，能读取思想、控制他人心智、制造心灵幻象，并能将身体转化为钻石形态，增强防御力。,否,0,X战警,查尔斯·泽维尔,7,孤傲/双重间谍
HOGUN [ASGARDIAN],霍根（仙宫战士）,男,正派,神力,拥有阿斯加德人的超人体质，包括超强力量、耐力、寿命和战斗技巧，精通多种武器，尤其是战锤。,是,3,仙宫三勇士,奥丁,4,忠诚战士
