English_Name,Chinese_Name,Gender,Alignment,Power_Type,Detailed_Power,MCU_Presence,Movie_Count,Primary_Team,Mentor_CN,Risk_Level,Social_Style,degree_score,betweenness_score,faction_id,Cross_Index,Image_URL,Loyalty_Score
COLOSSUS II/PETER RA,钢力士/彼得·拉斯普廷,男,正派,变异,全身可转变为有机钢形态，拥有超强力量、防御力、耐力及自愈能力，免疫毒素和疾病。,否,0,X战警,X教授,3,团队核心,0.1593141075604053,0.0099134288687044,5,0.8899,pic\heroes\COLOSSUS.jpg,0.2162
MARVEL GIRL/JEAN GRE,惊奇女孩/琴·葛蕾,女,正派,变异,拥有强大的心灵感应和念动力，能读取思想、控制物体、飞行，体内蕴含凤凰之力，可释放毁灭性能量。,否,0,X战警,X教授,9,团队核心,0.1561964146531566,0.0143143399535527,5,0.9055,pic\heroes\MARVEL GIRL.jpg,0.1866
HERCULES [GREEK GOD],赫拉克勒斯,男,正派,神力,奥林匹斯神族赋予的超级力量、耐力、不朽寿命和战斗技巧，能举起超过100吨重物。,否,0,复仇者联盟,宙斯,8,豪迈直率,0.1540140296180826,0.0084024859267522,2,0.8865,pic\heroes\HERCULES__GREEK_GOD_.jpg,0.2186
"JARVIS, EDWIN",埃德温·贾维斯,男,正派,格斗,无超能力，但具备出色的管家技能、格斗技巧、忠诚品质和危机处理能力，是霍华德·斯塔克的得力助手。,是,2,斯塔克家族/神盾局,霍华德·斯塔克,1,忠诚管家,0.1535463756819953,0.0103404209973202,2,0.9042,pic\pic/shield_logo.webp,0.203
SUB-MARINER/NAMOR MA,纳摩/纳摩·麦肯齐,男,中立,变异,亚特兰蒂斯混血，水下呼吸、超强力量、飞行、长寿，能控制海洋生物。,是,1,亚特兰蒂斯王国,无明确核心导师,7,孤傲/王者风范,0.1524551831644583,0.0171075989846122,2,0.8971,pic\heroes\NAMOR THE SUB-MARINER.jpg,0.0266
DAREDEVIL/MATT MURDO,夜魔侠/马修·默多克,男,正派,变异,因放射性物质导致双目失明，但其他感官超常增强，拥有雷达般的感知能力和卓越的格斗技巧。,是,0,捍卫者联盟,棍叟,4,双重身份,0.1504286827747467,0.0164852600810634,1,0.9019,pic\heroes\DAREDEVIL.jpg,0.2041
ICEMAN/ROBERT BOBBY,冰人/罗伯特·路易斯·德雷克,男,正派,变异,欧米伽级变种人，能操控冰与冷，将身体转化为冰形态，制造冰结构，控制温度。,否,0,X战警,X教授,7,团队核心,0.1469992205767732,0.0113186668979316,5,0.8827,pic\heroes\ICEMAN.jpg,0.2259
"FURY, COL. NICHOLAS",尼克·弗瑞,男,正派,科技,无超能力，依靠顶尖格斗技巧、战略头脑、高科技装备（如隐形战机、能量武器）及神盾局资源指挥全球行动。,是,约10部,神盾局,无明确核心导师,8,团队核心/孤傲/双重间谍,0.1434138737334372,0.0227897575898555,12,0.905,pic\pic/shield_logo.webp,0.2076
"JAMESON, J. JONAH",J·乔纳·詹姆森,男,中立,格斗,无超能力，作为《号角日报》主编，拥有强大的媒体影响力、商业头脑和格斗技巧。,是,约5部,号角日报,无,2,固执/偏执/媒体操控者,0.1434138737334372,0.0168848340227945,1,0.9146,pic\pic/shield_logo.webp,0.0196
BLACK WIDOW/NATASHA,黑寡妇/娜塔莎·罗曼诺夫,女,正派,格斗,经过红房训练的世界顶级特工，精通多种格斗术、武器使用和间谍技巧，无超能力但身体素质远超常人。,是,8,复仇者联盟,克林特·巴顿（鹰眼）,7,双重间谍,0.1432579890880748,0.0079440942927139,2,0.8875,pic\heroes\BLACK ADAM.jpg,0.2176
QUICKSILVER/PIETRO M,快银/皮特罗·马克西莫夫,男,正派,变异,拥有超音速移动能力，反应速度极快，可制造冲击波和在水面奔跑。,是,2,复仇者联盟,万磁王,4,急躁冲动,0.1362431800467654,0.0078049409570816,2,0.8741,pic\heroes\QUICKSILVER.jpg,0.238
NIGHTCRAWLER/KURT WA,夜行者/科特·瓦格纳,男,正派,变异,拥有瞬间传送能力，可在视线范围内或记忆地点间传送，伴有烟雾和硫磺味；具备超强敏捷性、攀爬能力和夜视能力，尾巴可用于抓握和战斗。,否,2,X战警,X教授,3,虔诚友善,0.133593141075604,0.008595256941125,5,0.8812,pic\heroes\NIGHTCRAWLER (KURT WAGNER).jpg,0.2275
ROGUE /,罗刹女,女,正派,吸收/能量操控,通过皮肤接触吸收他人生命力、记忆、超能力，可暂时使用吸收的能力，但长期接触会危及对方生命；自身具有飞行能力和超强体力,否,0,X战警,X教授,高,内向谨慎,0.1290724863600935,0.0075813589536307,5,0.8717,pic\heroes\ROGUE.jpg,0.2246
"WATSON-PARKER, MARY",玛丽·简·沃森-帕克,女,正派,格斗,无超能力，但具备出色的格斗技巧、勇气和领导力，是蜘蛛侠的重要支持者。,否,0,蜘蛛侠相关团队,无,2,团队核心,0.1247077162899454,0.0153527161925706,1,0.922,pic\pic/shield_logo.webp,0.1487
HAVOK/ALEX SUMMERS,浩劫/亚历克斯·萨默斯,男,正派,变异,吸收宇宙能量并转化为强大的等离子爆炸，可从全身释放，需佩戴特殊制服控制能量。,否,0,X战警,查尔斯·泽维尔,6,责任感强/团队合作者,0.1211223694466095,0.01321465555303,5,0.8708,pic\heroes\HAVOK.jpg,0.2329
BLACK KNIGHT V/DANE,黑骑士五世/戴恩·惠特曼,男,正派,魔法/格斗,使用诅咒之剑乌木刃，拥有飞行、能量投射等魔法能力，精通中世纪格斗技巧。,是,1,复仇者联盟,黑骑士三世（珀西爵士）,4,孤傲/责任感强,0.1151987529228371,0.0040904347723953,2,0.8371,pic\heroes\BLACK CANARY.jpg,0.2828
QUASAR III/WENDELL V,类星体三世/温德尔·沃恩,男,正派,宇宙能量,通过量子手环操控量子能量，可飞行、发射能量束、创造能量场、进行星际旅行和能量吸收。,否,0,复仇者联盟,玛-维尔,4,团队核心,0.1137957911145752,0.0059126786235721,6,0.8423,pic\pic/shield_logo.webp,0.2658
SHADOWCAT/KATHERINE,幻影猫/凯瑟琳·安妮·普莱德,女,正派,变异,身体可相位化，穿透固体物质，并携带他人或物体一同穿越。,否,0,X战警,X教授,3,团队核心,0.111925175370226,0.0086386403451949,5,0.8529,pic\heroes\SHADOWCAT_KATHERINE.jpg,0.2479
BLACK PANTHER/T'CHAL,黑豹/特查拉,男,正派,科技/神力,服用心形草后获得超人类体能、感官和敏捷性，并穿戴振金战衣提供防御和能量吸收释放能力。,是,5,复仇者联盟,特查卡,3,团队核心,0.110833982852689,0.0076081682597978,2,0.8535,pic\heroes\BLACK PANTHER.jpg,0.263
CRYSTAL [INHUMAN],水晶,女,正派,变异,能操控土、火、水、风四大元素，通过泰瑞根迷雾觉醒的异人族能力。,否,0,异人族皇室/神奇四侠,黑蝠王,4,团队核心,0.1091192517537022,0.0053912111769611,2,0.849,pic\pic/shield_logo.webp,0.2414
PSYLOCKE/ELISABETH B,灵蝶/伊丽莎白·布拉多克,女,正派,变异,拥有心灵感应、心灵操控能力，能生成精神能量武器，具备超强格斗技巧。,否,0,X战警,X教授,6,孤傲,0.1077162899454403,0.0067211408512798,5,0.8506,pic\heroes\PSYLOCKE.jpg,0.2258
NOVA/RICHARD RIDER,新星/理查德·赖德,男,正派,宇宙能量,通过新星头盔获得宇宙能量，拥有飞行、超强力量、能量发射、超光速飞行和能量吸收等能力。,否,0,新星军团,罗曼·戴,6,团队核心,0.1056897895557287,0.0055511364100673,4,0.8525,pic\heroes\ULTIMATE NOVA.jpg,0.2375
SILVER SURFER/NORRIN,银影侠/诺林·拉德,非人类,中立,宇宙能量,通过宇宙能量操控冲浪板飞行，吸收并释放宇宙能量，拥有超强力量和再生能力，能穿越太空。,否,0,无固定阵营,行星吞噬者,8,孤傲,0.1038191738113795,0.0228843251916939,2,0.8494,pic\heroes\QUICKSILVER_PIETRO_M.jpg,0.0315
DR. DOOM/VICTOR VON,毁灭博士/维克多·冯·杜姆,男,反派,科技/魔法,精通科技与魔法，拥有高科技装甲、能量发射、力场护盾、时间旅行等能力，是拉托维尼亚的独裁者。,否,0,无固定阵营（常作为反派或独立势力）,无明确核心导师,10,孤傲/独裁者,0.1008573655494933,0.0087245797617629,2,0.8379,pic\heroes\DOCTOR DOOM.jpg,0.1654
"ROBERTSON, JOE",乔·罗伯逊,男,正派,格斗,无超能力，作为《号角日报》主编，凭借新闻调查、领导力和坚定道德立场影响事件。,否,0,号角日报,无,1,正直坚定,0.1002338269680436,0.0079002283916145,1,0.8895,pic\pic/shield_logo.webp,0.1975
CANNONBALL II/SAM GU,加农炮二世/山姆·顾,男,正派,变异,变种人能力，能够以超音速飞行并产生保护性力场，冲击力巨大。,否,0,X战警,X教授,4,团队核心,0.0999220576773187,0.0105211937566309,5,0.8629,pic\pic/shield_logo.webp,0.2262
"RICHARDS, FRANKLIN B",富兰克林·本杰明·理查兹,男,正派,宇宙能量,拥有近乎无限的现实扭曲能力，可创造口袋宇宙、操控时空、重塑物质与能量，是漫威宇宙中最强大的变种人之一。,否,0,神奇四侠,里德·理查兹,10,天真但强大,0.0988308651597817,0.0045989980135548,2,0.8348,pic\pic/shield_logo.webp,0.2839
FIRESTAR/ANGELICA JO,火星/安吉莉卡·乔,女,正派,变异,能够生成并控制微波辐射，产生高热、火焰和能量冲击，可飞行并免疫自身热量。,否,0,X战警,X教授,4,团队合作者,0.0954014029618082,0.0040960730343745,4,0.8445,pic\heroes\FIRESTAR.jpg,0.2598
GAMBIT/REMY LEBEAU,牌皇/雷米·勒博,男,正派,变异,能将动能注入物体使其爆炸，擅长使用扑克牌和长棍作为武器，拥有超强敏捷和格斗技巧。,否,0,X战警,暂无明确核心导师,5,魅力四射/亦正亦邪,0.0949337490257209,0.007785981008726,5,0.846,pic\heroes\GAMBIT.jpg,0.2332
"CAGE, LUKE/CARL LUCA",卢克·凯奇/卡尔·卢卡斯,男,正派,变异,皮肤和骨骼经过化学实验强化，拥有刀枪不入的防御力、超人的力量和耐力，能承受爆炸和重击。,是,0,捍卫者联盟,无,4,团队核心,0.0946219797349961,0.0073206626939021,3,0.8335,pic\pic/shield_logo.webp,0.29
NAMORITA/NITA PRENTI,纳摩丽塔/妮塔·普伦蒂,女,正派,变异,亚特兰蒂斯混血，拥有水下呼吸、超强力量、速度、耐力，以及飞行能力。,否,0,新勇士,纳摩,4,团队核心,0.0925954793452844,0.0050361799939417,4,0.8372,pic\heroes\NAMORITA_NITA_PRENTI.jpg,0.266
"SUMMERS, NATHAN CHRI",镭射眼/斯科特·萨默斯,男,正派,变异,双眼可发射高能红色冲击光束，需佩戴特殊眼镜或面罩控制。,否,0,X战警,X教授,4,团队核心,0.0911925175370226,0.0084840136335915,5,0.8635,pic\pic/shield_logo.webp,0.2479
USAGENT/CAPTAIN JOHN,美国特工/约翰·沃克,男,正派/反派（角色有转变）,科技/格斗,通过超级士兵血清获得增强的力量、速度、耐力和反应能力，精通格斗技巧和武器使用。,是,1（主要在剧集《猎鹰与冬兵》中）,美国政府/雷霆特工队,史蒂夫·罗杰斯（美国队长）,6,双重间谍/荣誉驱动,0.0910366328916601,0.0045407178349755,12,0.8425,pic\pic/shield_logo.webp,0.0
SERSI/SYLVIA,西尔维,女,反派,魔法,精通黑暗魔法，能操控能量、制造幻象、进行精神攻击，拥有强大的魔法战斗能力。,否,0,无固定阵营,无,7,孤傲,0.0904130943102104,0.0031768602514713,2,0.8148,pic\pic/shield_logo.webp,0.1345
MOONDRAGON/HEATHER D,月龙/希瑟·道格拉斯,女,正派,宇宙能量,拥有强大的心灵感应、心灵控制、能量投射、飞行及精神攻击能力，能操控宇宙能量进行战斗。,否,0,银河护卫队,灭霸,7,孤傲,0.0890101325019485,0.0036095948969279,6,0.7994,pic\pic/shield_logo.webp,0.2977
POLARIS/LORNA DANE,北极星/洛娜·戴恩,女,正派,变异,拥有操控磁场的变种人能力，可控制金属、飞行、生成电磁脉冲，是万磁王的女儿。,否,0,X战警,万磁王,6,孤傲,0.0876071706936866,0.0026612597728155,5,0.8189,pic\pic/shield_logo.webp,0.2527
IRON FIST/DANIEL RAN,铁拳/丹尼尔·兰德,男,正派,格斗,通过昆仑训练获得铁拳之力，能将气集中在拳头上释放出超自然能量，精通武术和格斗技巧。,否,0,捍卫者联盟,雷公,4,孤傲,0.0857365549493374,0.0074276625947944,3,0.8317,pic\heroes\IRON FIST.jpg,0.2818
FALCON/SAM WILSON,猎鹰/山姆·威尔逊,男,正派,科技,通过高科技飞行翼套装进行高速飞行，配备微型导弹、机枪等武器，并可与鸟类心灵感应沟通。,是,7,复仇者联盟,美国队长,3,团队核心,0.0840218238503507,0.0025470961651778,12,0.8084,pic\heroes\FALCON.jpg,0.2913
"JONES, RICHARD MILHO",理查德·米尔豪·琼斯,男,反派,变异,拥有超强再生能力，可快速愈合伤口，身体组织能抵抗极端伤害，但无法完全免疫致命攻击。,否,0,无固定阵营,无,4,孤傲,0.0840218238503507,0.0057695018708258,2,0.8318,pic\pic/shield_logo.webp,0.154
"COOPER, DR. VALERIE",瓦莱丽·库珀博士,女,正派,科技,无超能力，但作为政府官员和科学家，擅长超人类事务管理与科技研发，拥有高级情报分析能力。,否,0,美国政府超人类事务部门,无,2,理性务实,0.0838659392049883,0.0031368155252725,5,0.8236,pic\pic/shield_logo.webp,0.2695
BINARY/CAROL DANVERS,二进制/卡罗尔·丹弗斯,女,正派,宇宙能量,吸收并操控白洞能量，拥有超光速飞行、能量投射、宇宙感知等能力，可进入二进制状态大幅增强力量。,是,4,复仇者联盟,玛·威尔,9,团队核心,0.0837100545596258,0.0024948852534412,2,0.8244,pic\pic/shield_logo.webp,0.2756
WOLFSBANE/RAHNE SINC,狼毒/拉赫妮·辛克,女,正派,变异,变种人，能变身为狼或半狼形态，拥有超强力量、速度、敏捷和感官，以及快速自愈能力。,否,0,X战警,X教授,3,忠诚可靠,0.083398285268901,0.0041683836107855,5,0.8009,pic\pic/shield_logo.webp,0.2822
THUNDERSTRIKE/ERIC K,雷霆打击/埃里克·K,男,正派,神力,通过雷神之锤获得超人的力量、耐力、飞行能力，并能操控雷电和风暴。,否,0,复仇者联盟,索尔（雷神）,3,团队核心,0.0830865159781761,0.0039546828136253,6,0.8082,pic\pic/shield_logo.webp,0.2739
CAPTAIN MARVEL II/MO,惊奇队长II/莫妮卡·兰博,女,正派,宇宙能量,吸收并操控各种形式的电磁能量，可转化为光能、热能、动能，实现飞行、能量投射、隐形、相位穿越等能力。,是,2,复仇者联盟,卡罗尔·丹弗斯,4,团队核心,0.0827747466874512,0.0023934634839034,2,0.7968,pic\heroes\CAPTAIN MARVEL.jpg,0.307
MAGNETO/MAGNUS/ERIC,万磁王/马克斯·艾森哈特/埃里克·兰谢尔,男,反派/中立,变异,能够操控磁场和金属，包括飞行、制造力场、控制铁元素等，是欧米茄级变种人。,否,约10部（主要在X战警系列电影中）,X战警（曾短暂加入）/变种人兄弟会,无明确核心导师，但查尔斯·泽维尔（X教授）是其重要对手和思想影响者。,9,孤傲/激进领袖,0.0819953234606391,0.0025028341429033,5,0.801,pic\pic/shield_logo.webp,0.0
UATU,观察者乌阿图,非人类,中立,宇宙能量,拥有全知视角，能观察多元宇宙事件，但受誓言约束不得干预，具备超强防御和能量投射能力。,是,1,观察者,无,2,孤傲,0.0818394388152767,0.0056341619073044,2,0.7839,pic\pic/shield_logo.webp,0.0457
MOCKINGBIRD/DR. BARB,仿声鸟/芭芭拉·莫尔斯,女,正派,格斗,精通多种格斗术，擅长使用战斗棍，具备出色的间谍技能和战术分析能力。,否,0,神盾局,尼克·弗瑞,4,双重间谍,0.0813717848791894,0.0025788834675321,2,0.7938,pic\pic/shield_logo.webp,0.3142
SUNSPOT/ROBERTO DACO,太阳黑子/罗伯托·达科斯塔,男,正派,变异,吸收太阳能转化为超强力量、飞行和热能释放，在阳光下能力增强，黑暗环境减弱。,否,0,X战警/新变种人,X教授,4,团队核心/自信,0.0809041309431021,0.00468425723344,5,0.8349,pic\heroes\SUNSPOT.jpg,0.2389
TIGRA/GREER NELSON,虎女/格里尔·纳尔逊,女,正派,变异,拥有猫科动物的超强感官、敏捷、力量、利爪和平衡能力，以及部分魔法抗性。,否,0,复仇者联盟,汉克·皮姆,3,团队核心,0.0804364770070148,0.0030818168376834,2,0.7797,pic\pic/shield_logo.webp,0.3333
BANSHEE/SEAN CASSIDY,嚎叫/肖恩·卡西迪,男,正派,变异,拥有超音速声波能力，可发出破坏性声波攻击、进行声波飞行和回声定位。,否,0,X战警,X教授,3,团队核心,0.0782540919719407,0.0041799855750416,5,0.8438,pic\heroes\BANSHEE.jpg,0.243
SPEEDBALL/ROBBIE BAL,速球/罗比·鲍德温,男,正派,变异,通过接触零物质获得能力，能产生动能场，吸收冲击并反弹，高速移动和跳跃。,否,0,新勇士,无,4,冲动易怒,0.0782540919719407,0.0028778788612162,4,0.8061,pic\pic/shield_logo.webp,0.2769
"DUGAN, TIMOTHY ALOYI",蒂莫西·阿洛伊·杜根,男,正派,格斗,前美国陆军上校，神盾局高级特工，精通格斗、枪械和战术指挥，无超能力但经验丰富。,是,1,神盾局,尼克·弗瑞,3,忠诚可靠,0.0773187840997661,0.0062177643049474,2,0.8386,pic\pic/shield_logo.webp,0.2641
"NELSON, FRANKLIN FOG",富兰克林·福格·纳尔逊,男,正派,格斗,作为夜魔侠的挚友兼法律合伙人，他是一名优秀的律师，没有超能力，但具备出色的法律素养、坚定的正义感和对朋友的忠诚。,是,0,尼尔森与默多克律师事务所,无,2,团队核心,0.0773187840997661,0.0061919064793233,1,0.8452,pic\pic/shield_logo.webp,0.254
JUSTICE II/VANCE AST,正义二世/万斯·阿斯特,男,正派,变异,能够操纵动能，包括吸收、储存和释放动能，用于增强力量、速度或发射能量冲击波。,否,0,新勇士,夜鸫,4,团队核心,0.0762275915822291,0.0028563616393349,4,0.8344,pic\pic/shield_logo.webp,0.2679
"PARKER, MAY",梅·帕克,女,正派,格斗,无超能力，但具备出色的格斗技巧和战斗经验，常作为蜘蛛侠彼得·帕克的精神支柱和家庭支持者。,是,3,无核心阵营,无,1,家庭核心,0.0760717069368667,0.0050944207439474,1,0.8767,pic\pic/shield_logo.webp,0.166
PUNISHER II/FRANK CA,惩罚者II/弗兰克·卡索,男,正派,格斗,无超能力，依靠顶尖军事训练、战术头脑、武器精通和坚韧意志进行战斗，擅长使用各种枪械和近身格斗。,否,0,独立行动/偶尔与神盾局合作,无固定导师,7,孤傲,0.075448168355417,0.0162412795611152,1,0.8869,pic\pic/shield_logo.webp,0.1963
DR. DRUID/ANTHONY LU,德鲁伊德博士/安东尼·卢,男,正派,魔法,精通古代德鲁伊魔法，能操控自然元素、进行预言占卜、施展精神控制和心灵感应。,否,0,复仇者联盟,梅林,4,神秘学者,0.0748246297739672,0.0014268355193979,2,0.7671,pic\pic/shield_logo.webp,0.3438
FORGE,锻造者,男,正派,科技,拥有与生俱来的发明创造天赋，能快速理解并制造任何科技设备，尤其擅长武器和机械装置。,否,0,X战警,X教授,4,孤傲,0.0740452065471551,0.0017744043583277,5,0.788,pic\pic/shield_logo.webp,0.2947
IRON MAN IV/JAMES R.,钢铁侠四代/詹姆斯·R·罗兹,男,正派,科技,穿着高科技装甲，具备飞行、能量炮、超强防御和战术分析能力，装甲由斯塔克工业技术升级。,否,0,复仇者联盟,托尼·斯塔克,3,团队核心,0.0724863600935308,0.0075988667967337,0,0.8467,pic\pic/shield_logo.webp,0.243
CAPTAIN BRITAIN/BRIA,英国队长/布里亚,女,正派,魔法/神力,通过魔法护身符获得超人类力量、耐力、飞行能力，并能操控能量进行攻击和防御。,否,0,英国队长军团/复仇者联盟,梅林,4,团队核心/坚韧果敢,0.0717069368667186,0.0046438228129409,5,0.7721,pic\pic/shield_logo.webp,0.3783
STARFOX/EROS,星狐/厄洛斯,男,正派,神力,永恒族成员，拥有飞行、超强力量、耐力，并能通过接触激发他人愉悦感，影响情绪。,是,1,永恒族,阿贾克,3,魅力型/享乐主义,0.0712392829306313,0.0018061812505286,2,0.7729,pic\pic/shield_logo.webp,0.3348
SASQUATCH/WALTER LAN,大脚怪/沃尔特·兰,男,正派,变异,可变为巨大、毛茸茸的类人生物，拥有超强力量、耐力和再生能力，能抵御极端环境。,否,0,阿尔法战队,詹姆斯·麦克唐纳·哈德森（守护者）,4,团队核心,0.0709275136399064,0.0029394165145397,5,0.7457,pic\pic/shield_logo.webp,0.3451
