node,type
"ALBUQUERQUE, JEREMIA",hero
ALCHEMY/THOMAS JONES,hero
"ALDEN, PROF. MEREDIT",hero
"ALEGRIA, RICHIE",hero
"ALEXANDER, CALEB",hero
"ALEXANDER, CARRIE",hero
ALFY,hero
ALIOTH,hero
ALIST,hero
ALISTRO,hero
AL-KHALAD,hero
"ALLEN, TERRY",hero
"ALOUETTE, GENARD",hero
ALPHA,hero
"ALRAUNE, MARLENE",hero
"ALVAREZ, CARLY",hero
"ALVAREZ, FELIX",hero
"ALVAREZ, PAUL",hero
AMAZO-MAXI-WOMAN/,hero
AMAZON,hero
AMENHOTEP,hero
AMERICAN EAGLE III/J,hero
AMERICAN EAGLE II/JA,hero
AMERICAN SAMURAI/,hero
AMERICOP/,hero
AMIKO,hero
AMINEDI,hero
AMPERE/,hero
AMPHARON,hero
AMPHIBIAN/KINGLEY RI,hero
AMPHIBIUS,hero
ANACONDA/BLANCHE SIT,hero
ANAIS,hero
ANAK,hero
ANALYZER,hero
"ANAMI, HIROSHI",hero
ANANASTASIA/ANNA,hero
ANARCHIST/TIKE ALICA,hero
ANCESTOR/,hero
ANCIENT ONE/BARON MO,hero
ANCIENT ONE,hero
"ANDERS, JOSHUA RICHI",hero
"ANDERSON, BAXTER",hero
"ANDERSON, CHARLES",hero
"ANDERSON, CHET",hero
"ANDERSON, CHIEF MAGI",hero
"ANDERSON, GINA",hero
"ANDERSON, MARJORIE",hero
"ANDERSON, NICKY",hero
"ANDERSSEN, TANYA",hero
"ANDREWS, DARYL TROOP",hero
ANDROMEDA/ANDROMEDA,hero
ANDROS,hero
ANDWELLA,hero
ANELLE,hero
ANGAR THE SCREAMER/D,hero
ANGEL 2013,hero
ANGEL DOPPELGANGER,hero
ANGEL III/HALLOWAY,hero
ANGEL II/THOMAS HALL,hero
ANGEL IV,hero
"ANGELOPOULOS, ANGEL",hero
ANGEL/WARREN KENNETH,hero
ANGKOR,hero
ANGLER,hero
"ANGSTROM, EARL",hero
ANIELLE,hero
ANIMATOR/DR. FREDRIC,hero
ANIMATOR II/,hero
ANIMUS,hero
ANNALEE,hero
ANNIHILUS,hero
ANOMALY,hero
ANOMALY III,hero
"ANON, LORD",hero
ANSWER,hero
ANSWER II/DAVID FERR,hero
ANTEUS,hero
ANTHROMORPHO,hero
ANTIBODY,hero
ANTI-PHOENIX,hero
ANTIQUARY/,hero
ANTI-VISION,hero
ANT-MAN/DR. HENRY J.,hero
ANT-MAN II/SCOTT HAR,hero
"ANTOINETTE, MARIE",hero
ANTORO,hero
ANTRO,hero
"ANUBAR, ANWAR",hero
ANUBIA,hero
ANVIL/JOHNNY ANVIL,hero
APE/,hero
APE MAN/GORDON MONK,hero
APE MAN II/ROY MCVEY,hero
APE-X/XINA,hero
APOCALYPSE/EN SABAH,hero
APOCALYPSE | MUTANT,hero
APOCRYPHUS,hero
APOLLO [GREEK GOD],hero
APOSTATE,hero
APPALLA,hero
"APPLEBAUM, PHANTASY",hero
AQUARIAN/WUNDARR,hero
AQUARIUS/DARREN BENT,hero
AQUARIUS II/,hero
AQUARIUS III/,hero
ARABIAN KNIGHT/ABDUL,hero
ARACHNE,hero
ARAGORN,hero
ARAKI II,hero
ARAKI [SHI'AR],hero
"ARBOGAST, BAMBI",hero
ARCADE/,hero
ARCADIUS,hero
ARCANNA/ARCANNA JONE,hero
ARCHAEOPTERYX/TONAJA,hero
ARCHER/JUDE BLACK,hero
"ARCHER, ULYSSES SAMS",hero
ARCLIGHT/PHILLIPA SO,hero
ARCTURUS,hero
ARES [GREEK GOD],hero
AREX,hero
ARGOS,hero
"ARGOSY, HERVE",hero
ARIA,hero
ARIANE,hero
ARIDES,hero
ARIEL II,hero
ARIES II/GROVER RAYM,hero
ARIES III/,hero
ARIES/MARCUS LASSITE,hero
ARISHEM [CELESTIAL],hero
ARIZE,hero
"ARKANIAN, GLIB",hero
ARKO,hero
ARKON,hero
"ARLINGTON, DR. MARCU",hero
ARLISSE,hero
ARMADA,hero
ARMADA II/,hero
ARMADILLO/ANTONIO RO,hero
ARMAGEDDON,hero
ARMAGEDDON MAN,hero
ARMAND,hero
ARMAROS,hero
ARMAZIEL,hero
"ARMBRUSTER, COLONEL",hero
ARMS MERCHANT/ANDREA,hero
"ARMSTRONG, ?",hero
"ARMSTRONG, MYRA",hero
ARNSTROM,hero
ARON [WATCHER],hero
ARRANGER/,hero
ARROW,hero
ARSENAL,hero
ARSENAL II,hero
ARSENIC,hero
ARTEMIS,hero
ARVAK,hero
ARYAN,hero
ASANO,hero
"ASBERY, SHAMARI",hero
ASBESTOS LADY,hero
"ASH, BRANDY",hero
ASHEMA [CELESTIAL],hero
"ASHER, CARL",hero
"ASHER, DONNA",hero
"ASHER, MICHAEL",hero
ASHUR,hero
ASKANI,hero
ASMODEUS,hero
ASP II/CLEO,hero
ASSAULT/,hero
ASTARTE,hero
"ASTER, LUCIAN",hero
ASTRA,hero
ASTRA II,hero
ASTROLOGER/,hero
ASTRONOMER,hero
"ASTROVIK, ARNOLD",hero
"ASTROVIK, NORMA",hero
ASYLUM/,hero
ASYLUM II/HENRIQUE M,hero
ATALANTA,hero
ATALON,hero
ATHENA [GREEK GOD],hero
"ATKINSON, MAJ. EDMON",hero
ATLAS,hero
ATLAS III,hero
ATOM SMASHER/,hero
ATOM-SMASHER/,hero
ATOM SMASHER II/,hero
"ATOR, GENERAL",hero
ATTRACTIVE LAD/AUNDR,hero
ATTUMA,hero
AUGUST PERSONAGE IN,hero
AUNTIE FREEZE/,hero
AURA/ANN HERD,hero
AURIC/,hero
AURORA DOPPELGANGER,hero
AURORA/JEANNE-MARIE,hero
AURORA | MUTANT X-VE,hero
"AUSTIN, GEN.",hero
"AUSTIN, SUSAN",hero
"AUSTIN, TERRY",hero
"AUTHIER, POLICE CHIE",hero
"AUTHIER, TRACY TRACE",hero
AUTHORITY/,hero
AUTOLYCUS,hero
AVALANCHE/DOMINIC PE,hero
AVANDALIA,hero
AVATAR,hero
AVATAR II/PRINCESS A,hero
AVIA,hero
AVIOS,hero
AVIUS,hero
"AVRIL, SALLY",hero
"AVRIL, YVETTE",hero
AWESOME ANDROID,hero
AXE/,hero
AXIS/,hero
"AYALA, AWILDA",hero
"AYALA, FILIPPO",hero
"AYALA, MRS.",hero
"AYALA, NESTOR",hero
AYESHA,hero
A'YIN,hero
AZAZEL,hero
AZAZEL II,hero
AZIR,hero
AZOPARDI,hero
AZOR,hero
AZRAEL,hero
AZURE,hero
BAAL,hero
BAAL II,hero
BACILLUS,hero
"BADALAMENTE, JESUS",hero
"BADALINO, LT. MICHAE",hero
"BAILEY, GAILYN",hero
"BAILEY, JOEY",hero
"BAILEY, SARA GREY",hero
"BAIRD, DR.",hero
"BAKER, ANNE-MARIE",hero
BAKER,hero
BALABAN/,hero
BALDER [ASGARDIAN],hero
"BALDWIN, JUSTIN",hero
"BALDWIN, MADELYNE MA",hero
"BALE, EMERSON",hero
"BALLANTINE, DEVON",hero
"BALLANTINE, KAYLA",hero
"BALLANTINE, MR.",hero
"BALLANTINE, MRS.",hero
BALOR,hero
BAMBI,hero
"BANCROFT, MARTINE",hero
BANDIT/,hero
"BANK, IRVING",hero
"BANKS, SHARON",hero
"BANNER, BETTY ROSS T",hero
"BANNERJEE, DR.",hero
"BANNON, LANCE",hero
BANSHEE 2013,hero
BANSHEE II,hero
BANSHEE/SEAN CASSIDY,hero
BANTAM/,hero
"BANTOCK, LT. OLIVER",hero
"BAPTISTE, TANTE MATT",hero
BARAK,hero
"BARBAROSSA, MARIO",hero
"BARBAROSSA, VINNIE",hero
BARBARUS,hero
BARIUM,hero
BARKER,hero
"BARKER, MATTHEW T.",hero
BARNACLE/,hero
"BARNETT, MIKE",hero
BARON BLOOD II/VICTO,hero
BARON BLOOD/JOHN FAL,hero
BARON BRIMSTONE/,hero
BARONESS ZEMO/HEIKE,hero
BARON MACABRE/,hero
BARON MORDO/KARL MOR,hero
BARON SAMEDI,hero
BARON STRUCKER/WOLFG,hero
BARON ZEBEK,hero
BARRACUDA/,hero
BARRAGE,hero
"BARRANCO, MARIA ESME",hero
"BARRENOS, OMAR",hero
B'ARR,hero
BARRIER/,hero
BARRINGTON,hero
"BARRON, RICK",hero
"BARROWS, WALTER",hero
"BARTLETT, STU",hero
"BARTON, SEN.",hero
BARTOS,hero
BASALLO/LAVA MEN KIN,hero
BASALTAR,hero
BASILISK/BASIL ELKS,hero
BASILISK II,hero
BASILISK III/,hero
BATAL/,hero
BATROC/GEORGES BATRO,hero
BATTERING RAM,hero
BATTERY/,hero
BATTLEAXE/,hero
BATTLEAXE II/JEROME,hero
"BATTLE, MONTGOMERY",hero
BATTLESTAR/LEMAR HOS,hero
BATWING/,hero
BAV-TEK,hero
"BAXTER, ABIGAIL",hero
BAXTER,hero
"BAXTER, NOAH",hero
"BAYLOR, FRANK",hero
BAYMAX,hero
"BAZIN, ALLEGRA",hero
"BAZIN, ANDREW",hero
"BAZIN, BRODERICK RIC",hero
"BAZIN, PHILLIPPE",hero
"BEACH, GINGER",hero
"BEACH, SPIDER",hero
"BEALE, ERIC",hero
BEAR/,hero
BEAST 2013,hero
BEAST DOPPELGANGER,hero
BEAST DOPPELGANGER I,hero
BEAST/HENRY &HANK& P,hero
"BEAUMONT, SPENCER",hero
BEAUTIFUL DREAMER,hero
BEAUTIFUL DREAMER II,hero
BEAUTY,hero
"BECKFORD, NOEL",hero
"BECKLEY, BENNY",hero
"BECKMAN, CHARLES",hero
"BECKMAN, JOSEPH",hero
"BECKMAN, LISA",hero
"BECKMAN, SARAH",hero
"BEDFORD, BRAD HULK",hero
BEDLAM II/OLISA KABA,hero
BEDLAM/JESSE AARONSO,hero
BEEFER,hero
BEEF/,hero
"BEERE, JASON",hero
BEETLE/ABNER RONALD,hero
BEETLE II/LEILA DAVI,hero
BEETLE ROBOT,hero
BEHEMOTH,hero
BELASCO,hero
BELDAME,hero
"BEL-DANN, GEN.",hero
"BELGRADE, DR. HORATI",hero
BELIAL,hero
BELLADONNA,hero
BELLAM,hero
BELLE,hero
"BELL, HERBERT",hero
BENAZA,hero
BENCHLEY,hero
"BENDIX, DR. ALBERT",hero
"BENEDICT, ANDREW",hero
BENEDICT,hero
BENGAL/,hero
"BENJAMIN, BYRON",hero
"BENNETT, DANNY",hero
"BENNETT, MITCH",hero
"BENNING, VERONICA",hero
"BENNY, JAKE",hero
"BENTLEY, MILES",hero
"BENTLEY, VICTORIA",hero
"BENTON, TERRY",hero
"BENWAY, DR.",hero
"BERDITCHEV, ITZHAK",hero
BEREET,hero
"BERENGHETTI, MICHAEL",hero
"BERENGHETTI, SUSAN",hero
"BERGER, PROF.",hero
"BERGIER, REBECCA",hero
"BERGLUND, GEN.",hero
"BERKELEY, TRAVIS",hero
"BERMAN, ADAM",hero
BERNARD THE POET,hero
"BERNHARD, CLARICE",hero
BERNIE,hero
"BERNSTEIN, DR. NOAH",hero
"BERNSTEIN, EMMA WEBS",hero
BERSERKER,hero
BERSERKER II,hero
BERSERKER III,hero
BERTRAM,hero
BERYL,hero
BERYLLIUM,hero
BETA RAY BILL,hero
BETA RAY BILL | MUTA,hero
"BETELHEIM, NORMA",hero
BETTY-6,hero
BEVATRON/,hero
"BEYNON, DR. BRADLEY",hero
BEYONDER,hero
BEYONDER | MUTANT X-,hero
B'GON,hero
BIANDU,hero
BI-BEAST,hero
BI-BEAST II,hero
BIG BEN/,hero
BIG BERTHA/ASHLEY CR,hero
BIG CASINO/,hero
"BIGGERS, MELVIN",hero
BIG MAN/FREDERICK FO,hero
BIG ONE/KENJIRO SASA,hero
BILE/,hero
"BILLUPS, AGENT",hero
BINARY/CAROL DANVERS,hero
BINARY | MUTANT X-VE,hero
BIOHAZARD,hero
BIOHAZARD II/FLETCHE,hero
BIRDBRAIN,hero
BIRD MAN/HENRY HAWK,hero
BIRD MAN III/,hero
"BIRD, TUESDAY",hero
BIRDY,hero
BISHOP /,hero
BISON/BILLY KITSON,hero
BITMAP/,hero
BIZEN,hero
"B'KOSA, GEN. JONATHA",hero
BLACK AVENGER/JERRY,hero
BLACKBALL,hero
BLACKBIRD/,hero
BLACKBODY,hero
BLACK BOLT/BLACKANTO,hero
BLACK BOLT | MUTANT,hero
BLACK BRIGADE,hero
"BLACK, CAL",hero
BLACK CAT/FELICIA HA,hero
BLACK CRANE/,hero
BLACK CROW/JESSE BLA,hero
"BLACK, CYRUS",hero
BLACK DEATH/DR. IVAN,hero
BLACK FOX II/,hero
BLACK FOX/ROBERT W.,hero
BLACK GOLIATH/DR. WI,hero
BLACKHEART,hero
BLACK HOLE/MORTON KI,hero
BLACKJACK/,hero
BLACK KING/SEBASTIAN,hero
BLACK KNIGHT III/EOB,hero
BLACK KNIGHT II/SIR,hero
BLACK KNIGHT IV DOPP,hero
BLACK KNIGHT IV/PROF,hero
BLACK KNIGHT/SIR PER,hero
BLACK KNIGHT V/DANE,hero
BLACK KNIGHT V DOPPE,hero
BLACK KNIGHT VI/PROF,hero
BLACK KNIGHT V STATU,hero
BLACK LAMA,hero
BLACK MAMBA/TANYA SE,hero
BLACK MARIAH,hero
BLACK MARVEL/DAN LYO,hero
BLACK MORAY,hero
BLACK MOUNTAIN/KUROY,hero
BLACKOUT II/,hero
BLACKOUT/MARCUS DANI,hero
BLACK PANTHER | MUTA,hero
BLACK PANTHER/T'CHAL,hero
BLACK RAAZER/,hero
BLACK RACER/,hero
"BLACK, RACHEL",hero
BLACK RAZER,hero
"BLACKSHEAR, JONAS",hero
BLACK SPECTRE/CARSON,hero
BLACK TALON/DESMOND,hero
BLACK TALON III,hero
BLACK TALON II/SAMUE,hero
BLACK TARANTULA II/C,hero
BLACK TARANTULA/LAMU,hero
BLACK TOM CASSIDY,hero
BLACKWELL,hero
BLACK WIDOW DOPPELGA,hero
BLACK WIDOW II/YELEN,hero
BLACK WIDOW | MUTANT,hero
BLACK WIDOW/NATASHA,hero
BLACKWING II/,hero
BLACKWING/JOSEPH MAN,hero
"BLACKWOOD, JENNY",hero
BLACKWULF,hero
BLADE/,hero
"BLAIR, CALEY",hero
"BLAIRE, CARTER",hero
"BLAKE, BECKY",hero
"BLAKE, DR. DONALD (C",hero
"BLAKE, DR. DONALD",hero
"BLAKE, EMILY",hero
"BLAKE, KENT",hero
"BLANDING, ANDREW",hero
"BLANDING, HALEY",hero
"BLANDING, MRS.",hero
BLAQUESMITH,hero
BLARE/,hero
BLASTAAR,hero
BLASTING CAP/,hero
"BLAZE, CRAIG",hero
"BLAZE, EMMA",hero
"BLAZE, ROXANNE SIMPS",hero
BLAZING SKULL/MARK T,hero
"BLESSING, MORGANA",hero
BLIND AL/ALTHEA,hero
BLINDSIDE II/BOBBI C,hero
"BLINK/FERGUSON, CLAR",hero
"BLISS, BONNIE",hero
BLISS,hero
"BLISS, MISS",hero
BLITZIANA,hero
BLITZKRIEG/,hero
BLIZZARD II/DONALD G,hero
BLIZZARD/PROF. GREGO,hero
BLOB/FRED J. DUKES,hero
BLOCKADE/DEXTER PARI,hero
BLOCKBUSTER/,hero
BLOCKBUSTER II,hero
BLOCKBUSTER III/MICH,hero
BLOKE/MICKEY TORK,hero
BLOK,hero
BLOODAXE/JACKIE LUKU,hero
BLOOD BROTHERS,hero
BLOODHOUND/,hero
BLOODLUST,hero
BLOODSCREAM,hero
BLOODSHED/WYNDELL DI,hero
BLOOD SPIDER/,hero
BLOODSTONE/ULYSSES B,hero
BLOODSTORM | MUTANT,hero
BLOODSTRIKE/ERIC CON,hero
BLOOD-TIDE,hero
"BLOODVESSEL, BUSTA",hero
BLOODWING [SHI'AR],hero
BLOOD WRAITH/SEAN DO,hero
BLOODWRAITH/SEAN DOL,hero
BLOODY BESS,hero
BLOODY MARY,hero
"BLOTT, BRIGADIER INK",hero
BLOWTORCH/,hero
BLUDGEON/,hero
BLUE BULLET/PROF. JO,hero
BLUE DIAMOND/PROFESS,hero
BLUE SHIELD/JOSEPH J,hero
BLUE STREAK/,hero
BLUNT,hero
BLUR,hero
BLURRY,hero
BOAK,hero
BOBCAT/,hero
BODYBAG,hero
"BOERKE, MAYOR",hero
BOGATYR/MIKULA GOLUB,hero
"BOGGS, MORDECAI P.",hero
BOLERO/,hero
"BOLT, COUNCILMAN AND",hero
BOLT II/CHRIS BRADLE,hero
BOLT/LAWRENCE EVANS,hero
BOMBADIER/,hero
BOMBLAST/,hero
BOMBSHELL/,hero
BOND,hero
BONEBREAKER/,hero
BONES/ELIZABETH BLIS,hero
BONITA,hero
BOOBYTRAP/,hero
BOOKWORM/NELSON GRUB,hero
BOOMERANG/FRED MYERS,hero
BOOMER/TABITHA SMITH,hero
BOOMSLANG/,hero
BOONE,hero
BORA,hero
BORAKU,hero
BORROB,hero
"BORROUGHS, CHARLES C",hero
"BOSCO, ELAINE",hero
BOSHLOVOR,hero
"BOUDREAUX, BELLA DON",hero
"BOUDREAUX, MARIUS",hero
BOULDER/,hero
BOUNCER,hero
BOUNTY,hero
BOUNTY II,hero
BOVA,hero
"BOWDEN, DENNIS",hero
"BOWEN, FATHER MICHAE",hero
"BOWMAN, MAJ.",hero
BOX II/JERRY JAXXON,hero
BOX IV/MADISON JEFFR,hero
BOX/ROGER BOCHS,hero
"BOYD, TWO-FISTED TOM",hero
"BRADDOCK, ELIZABETH",hero
"BRADDOCK, JAMES",hero
"BRADDOCK, JAMES JR.",hero
"BRADDOCK, JOHN",hero
"BRADLEY, CARRIE",hero
"BRADLEY, HANK",hero
"BRADLEY, JESSICA",hero
BRAHAMS,hero
BRAHMANES,hero
BRAIN CELL/,hero
BRAINCHILD,hero
BRAIN DRAIN/WERNER S,hero
BRAINSTORM/,hero
BRAINY,hero
"BRAITHWAITE, JUDGE R",hero
BRAMER,hero
"BRANDEIS, CAMMY",hero
"BRANDEIS, LIZ PARRIS",hero
"BRANDEIS, PROF. HENR",hero
"BRANDT, ELLEN",hero
"BRANNEX, ALLESSANDRO",hero
BRANNEX,hero
BRANSON,hero
BRASS BISHOP/,hero
BRASS/SEAN WATANABE,hero
BRAWLER,hero
"BRAWN, HUNTER",hero
"BRAWN, TRISTAN",hero
BREAKER/RAAK,hero
BREEGAN,hero
BRES,hero
"BREWER, AMY",hero
"BREWER, DR. MELINDA",hero
"BRICKFORD, CLAY",hero
"BRICKMAN, GLORIA",hero
"BRICKMAN, SEN. MILES",hero
"BRIDGE, GEORGE WASHI",hero
"BRIGGS, AGENT",hero
"BRIGGS, AGENT STEPHA",hero
BRIGHTSWORD/CARTER D,hero
BRIGHTWIND,hero
"BRINKE, NIOMI",hero
BRIQUETTE/,hero
BROADSIDE,hero
"BROGIN, BULL",hero
BROKEN MAN,hero
BROKER,hero
BROMINE,hero
"BROMWELL, DR.",hero
BRONA,hero
"BROOKS, ANNA",hero
BROOP,hero
BROTHER AXE,hero
BROTHER CAESAR,hero
BROTHER ROYAL,hero
BROTHERS GRIMM,hero
BROTHERS GRIMM II/BA,hero
BROTHER STEPHEN,hero
BROTHER TODE,hero
BROTHER VIRGIL,hero
BROTHER VOODOO/DANIE,hero
BROTHER VOODOO | MUT,hero
BROTHER WONDERFUL/DR,hero
"BROWN, ABE",hero
"BROWN, FRANK",hero
"BROWN, LAURA",hero
"BROWN, MINDY MCPHERS",hero
BROWSER,hero
"BRUKNER, DR. FRANK",hero
"BRUKNER, ILANEY",hero
BRUNNHILDE/MCM-XLI (,hero
BRUNO,hero
BRUTACUS,hero
BRUTE II/,hero
BRUTE | MUTANT X-VER,hero
BRUTE/REED RICHARDS,hero
BRUTO THE STRONGMAN/,hero
BRUTUS,hero
BRUTUS II,hero
BRUTUS KLOR,hero
"BRYCE, ARCHER",hero
"BUCHANAN, SAM",hero
"BUCHETTO, SALVATORE",hero
"BUCHOVITZ, STANLEY &",hero
"BUCKMAN, EDWARD",hero
"BUCKNER, GRANT",hero
BUCKY/BUCKY BARNES,hero
BUCKY II/FRED DAVIS,hero
BUCKY VI/,hero
BUCKY VII/RIKKI BARN,hero
BUEL,hero
BUG,hero
"BUKOWSKI, BUCK",hero
BULLDOZER/HENRY CAMP,hero
BULLET BIKER,hero
BULLET,hero
BULL,hero
BULLSEYE,hero
BULLSEYE II/BENJAMIN,hero
BULLSEYE | MUTANT X-,hero
BULWARK/,hero
BUMPKIN,hero
"BUMPO, MR.",hero
"BUNYAN, PAUL",hero
"BURGOS, CARL",hero
"BURKE, GWYNETH",hero
BURKE,hero
"BURKE, JACK",hero
"BURKE, JOB",hero
"BURKE, RICKY",hero
"BURKE, THERESA TRACY",hero
"BURLEY, MIKE",hero
"BURLINGAME, CALVIN",hero
BURNING PUDDLE,hero
"BURR, CLAYTON",hero
"BURRTHROP, T. BARTON",hero
BURST/,hero
"BUSH, GEORGE",hero
"BUSHKIN, BARNEY",hero
"BUSHMAN, RAOUL",hero
BUSHMASTER II/QUINCY,hero
BUSHMASTER/JOHN MCIV,hero
BUSHWACKER/CARL,hero
"BUSIEK, KURT",hero
BUTCH,hero
BUTTERFLY,hero
BUTTONS,hero
BUX,hero
BUZZARD,hero
BUZZ,hero
"BYRD, NATHANIEL ALEX",hero
"BYRD, SEN. HARRINGTO",hero
BYREL,hero
"BYRNE, JOHN",hero
"BYRNES, GAYLE WATSON",hero
"BYRNES, TIM",hero
BYRRAH [ATLANTEAN],hero
BYRRAH | HEROES REBO,hero
"CABE, BETHANY",hero
CABER,hero
CACHE,hero
"CACHES, FABIAN",hero
"CACHES, PROF. MARINA",hero
CACTUS,hero
CADAVER,hero
CADMIUM,hero
CADUCEUS,hero
CAESAR,hero
"CAESAR, JONATHAN",hero
"CAESAR, JULIUS",hero
"CAGE, LUKE/CARL LUCA",hero
"CAGLIOSTRO, ALESSAND",hero
"CAIRN, DET.",hero
CALCULUS/JAHAHAREL P,hero
"CALDERONE, HANNAH",hero
"CALDRONE, JAVIER",hero
CALEDONIA/ALISANDE S,hero
CALIBAN/,hero
CALIFORNIUM,hero
"CALKIN, SUSAN",hero
"CALLAGHAN, JAMES",hero
"CALLAHAN, DANNY",hero
"CALLAHAN, MIKE",hero
CALLISTO,hero
CALLISTO | MUTANT X-,hero
CALUMET,hero
CALYPSO,hero
"CAMBRIDGE, MOXIE",hero
"CAMPBELL, DR. RORY",hero
"CAMPBELL, MEREDITH",hero
"CAMPBELL, VALERIE",hero
CANCELLATOR,hero
CANCER II/,hero
CANCER/JACK KLEVENO,hero
CANDLEMAS/,hero
"CANDLER, OWEN",hero
CANDRA,hero
CANDY,hero
CANE/,hero
CANNONBALL II/SAM GU,hero
CANNONBALL/JACK PULV,hero
CANNONBALL/SAM GUTHR,hero
"CANTOR, VERA",hero
CAPRICORN II/,hero
CAPRICORN/WILLARD WE,hero
CAPTAIN AMERICA DOPP,hero
CAPTAIN AMERICA,hero
CAPTAIN AMERICA IV/S,hero
CAPTAIN AMERICA | MU,hero
CAPTAIN AMERICA V/RO,hero
CAPTAIN BARRACUDA,hero
CAPTAIN BRITAIN 2013,hero
CAPTAIN BRITAIN/BRIA,hero
CAPTAIN FATE,hero
CAPTAIN GLORY,hero
CAPTAIN HAWK,hero
CAPTAIN HIP/FRED MAC,hero
CAPTAIN MANHATTAN,hero
CAPTAIN MARVEL/CAPTA,hero
CAPTAIN MARVEL III/G,hero
CAPTAIN MARVEL II/MO,hero
CAPTAIN POWER/DR. CH,hero
CAPTAIN RECTITUDE,hero
CAPTAIN TERROR/DAN K,hero
CAPTAIN U.K./LINDA M,hero
CAPTAIN ULTRA/GRIFFI,hero
CAPTAIN UNIVERSE/STE,hero
CAPTAIN WINGS/,hero
"CAPUTO, DR. JULIA",hero
"CARBONE, JULIUS",hero
"CARBONE, ROSALIE",hero
"CARBONE, SALVATORE",hero
CARBON,hero
"CARDENAS, PACO",hero
CARDIAC/DR. ELI WIRT,hero
CARDINAL/CLEMDENON,hero
"CARDINALE, CARLOS",hero
CAREGIVER/RUBANNA LA,hero
CARETAKER,hero
CARGIL/JOANNA CARGIL,hero
CARGO,hero
CARINA/CARINA WALTER,hero
"CARLISLE, JENNA",hero
"CARLISLE, MELISSA BO",hero
"CARLISLE, PHILLIP",hero
"CARLTON, JAKE",hero
"CARLTON, LUCY",hero
CARLY,hero
"CARMODY, MARY",hero
"CARMODY, MRS.",hero
CARNAGE/CLETUS KASAD,hero
CARNIVORE/COUNT ANDR,hero
"CARPATHIAN, ANDREW",hero
"CARPENTER, LARRY",hero
"CARPENTER, RACHEL",hero
"CARRADINE, JESSICA J",hero
"CARR, DAN",hero
"CARRERA, MIA",hero
CARRION,hero
CARRION III/DR. WILL,hero
CARRION II/MALCOLM M,hero
"CARSON, LT. PAUL",hero
"CARTER, BRAD",hero
"CARTER, JIMMY",hero
"CARTER, PEGGY",hero
"CARTER, SHARON",hero
"CARTER, SHARON II",hero
"CARTER, TAD",hero
CARTHUS,hero
CARVER,hero
"CASE, COL. PRESTON",hero
CASEY,hero
"CASIOLENA, QUEEN",hero
CASPER,hero
"CASSADA, CARLOS",hero
"CASSADA, MICHAEL",hero
"CASSADA, ROBERTO",hero
"CASSADA, ROSA",hero
CASSANDRA,hero
CASSIOPEIA,hero
"CASS, LARRY MAD DOG",hero
CATAPHRAX,hero
CAT BURGLAR,hero
CATHERWOOD,hero
CATHODE/,hero
CAT II,hero
CAT III/SHEN KUEI,hero
CAT IV,hero
CAT KING,hero
CAT MAN/HORGAN,hero
CAT MAN III/,hero
CATSEYE/SHARON SMITH,hero
CATWALK/KIMBERLY DEE,hero
"CAULDER, SAFRON",hero
"CEAUSECU, IONEL",hero
CELESTE,hero
"CELLANOS, MARCELLA",hero
CENTARIUS,hero
CENTURIUS,hero
CENTURY,hero
"CENTURY, TURNER D.",hero
"CERA, KAY",hero
CERANDA,hero
