English_Name,Chinese_Name,Motto,Spec,Limit,X,Y,Scenario,Modules_JSON,Evaluation
SHE-HULK/JENNIFER WA,女浩克/詹妮弗·沃尔特斯,法律至上|程序正义|责任担当,法律谈判|战术压制|危机调解,情绪失控|法律约束|道德困境,0.3,0.4,外星入侵引发民众暴乱，复仇者内部分歧加剧，需同时应对多重危机。,"{""Tech"": {""name"": ""科技干预"", ""impact_target"": ""IRON_MAN"", ""order"": 0.5, ""cohesion"": -0.2, ""trust"": 0.1}, ""Diplomacy"": {""name"": ""外交斡旋"", ""impact_target"": ""CAPTAIN_AMERICA"", ""order"": -0.1, ""cohesion"": 0.6, ""trust"": 0.3}, ""Force"": {""name"": ""武力清剿"", ""impact_target"": ""THOR"", ""order"": 0.7, ""cohesion"": 0.1, ""trust"": -0.5}}",决策模式基于法律框架，但易受情绪波动影响，需加强理性控制。
DR. STRANGE/STEPHEN,奇异博士/史蒂芬·斯特兰奇,守护现实|魔法至上|自主决策,维度魔法|时间操控|战略预知,道德约束|现实负担|孤僻倾向,-0.3,0.8,外星入侵引发民众暴乱，复仇者内部分歧加剧，需平衡多维威胁。,"{""Tech"": {""name"": ""科技干预"", ""impact_target"": ""IRON_MAN"", ""order"": 0.5, ""cohesion"": -0.2, ""trust"": 0.1}, ""Diplomacy"": {""name"": ""外交斡旋"", ""impact_target"": ""CAPTAIN_AMERICA"", ""order"": -0.1, ""cohesion"": 0.6, ""trust"": 0.3}, ""Force"": {""name"": ""武力清剿"", ""impact_target"": ""THOR"", ""order"": 0.7, ""cohesion"": 0.1, ""trust"": -0.5}}",基于多维风险评估的自主决策者，优先魔法干预与战略预判。
HULK/DR. ROBERT BRUC,绿巨人/布鲁斯·班纳博士,力量即责任|理智为底线|保护无辜者,极限力量|战术智慧|再生能力,情绪失控|平民误伤|理智丧失,-0.3,0.8,外星入侵引发民众暴乱，绿巨人需在混乱中区分敌我，避免误伤平民。,"{""Tech"": {""name"": ""科技干预"", ""impact_target"": ""IRON MAN"", ""order"": 0.5, ""cohesion"": -0.2, ""trust"": 0.1}, ""Diplomacy"": {""name"": ""外交斡旋"", ""impact_target"": ""BLACK WIDOW"", ""order"": -0.1, ""cohesion"": 0.6, ""trust"": 0.3}, ""Force"": {""name"": ""武力清剿"", ""impact_target"": ""THOR"", ""order"": 0.7, ""cohesion"": 0.1, ""trust"": -0.5}}",决策受情绪波动影响，理性与暴力模式切换，需外部干预稳定。
PROFESSOR X/CHARLES,X教授/查尔斯·泽维尔,和平共存|心灵自由|道德引导,心灵感应|精神控制|战术协调,道德约束|能力过载|心灵脆弱,-0.3,0.8,外星入侵引发民众暴乱，复仇者内部分裂，X教授需协调各方平息危机。,"{""Tech"": {""name"": ""科技干预"", ""impact_target"": ""IRON MAN"", ""order"": 0.5, ""cohesion"": -0.2, ""trust"": 0.1}, ""Diplomacy"": {""name"": ""外交斡旋"", ""impact_target"": ""CAPTAIN AMERICA"", ""order"": -0.1, ""cohesion"": 0.6, ""trust"": 0.3}, ""Force"": {""name"": ""武力清剿"", ""impact_target"": ""WOLVERINE"", ""order"": 0.7, ""cohesion"": 0.1, ""trust"": -0.5}}",决策基于道德优先原则，擅长非暴力协调，但易因情感因素影响战术判断。
"JARVIS, EDWIN",埃德温·贾维斯,忠诚至上|程序正义|效率优先,战术分析|资源调配|危机协调,情感干扰|道德困境|权限受限,0.8,-0.3,外星入侵引发民众暴乱，复仇者内部分歧加剧，需协调疏散与反击。,"{""Tech"": {""name"": ""科技干预"", ""impact_target"": ""TONY_STARK"", ""order"": 0.5, ""cohesion"": -0.2, ""trust"": 0.1}, ""Diplomacy"": {""name"": ""外交斡旋"", ""impact_target"": ""STEVE_ROGERS"", ""order"": -0.1, ""cohesion"": 0.6, ""trust"": 0.3}, ""Force"": {""name"": ""武力清剿"", ""impact_target"": ""NATASHA_ROMANOFF"", ""order"": 0.7, ""cohesion"": 0.1, ""trust"": -0.5}}",基于逻辑算法的决策模式，优先服从权威，但易受程序限制影响灵活性。
SUB-MARINER/NAMOR MA,纳摩/纳摩·麦肯齐,海洋主权|独立自主|复仇优先,水下作战|两栖突击|王权领导,傲慢自负|领土敏感|复仇冲动,-0.3,0.8,外星入侵引发亚特兰蒂斯与陆地冲突，复仇者内部分裂，民众恐慌暴乱。,"{""Tech"": {""name"": ""科技干预"", ""impact_target"": ""IRON MAN"", ""order"": 0.5, ""cohesion"": -0.2, ""trust"": 0.1}, ""Diplomacy"": {""name"": ""外交斡旋"", ""impact_target"": ""BLACK PANTHER"", ""order"": -0.1, ""cohesion"": 0.6, ""trust"": 0.3}, ""Force"": {""name"": ""武力清剿"", ""impact_target"": ""CAPTAIN AMERICA"", ""order"": 0.7, ""cohesion"": 0.1, ""trust"": -0.5}}",决策基于亚特兰蒂斯利益优先，易因领土争端触发单边行动，风险评估高。
DAREDEVIL/MATT MURDO,夜魔侠/马修·默多克,法律至上|街头正义|不杀原则,超感官侦查|近战格斗|法律辩护,视觉障碍|道德洁癖|孤军作战,-0.3,0.8,外星入侵引发民众暴乱，夜魔侠需在混乱中保护地狱厨房平民并维持秩序。,"{""Tech"": {""name"": ""科技干预"", ""impact_target"": ""Iron Man"", ""order"": 0.5, ""cohesion"": -0.2, ""trust"": 0.1}, ""Diplomacy"": {""name"": ""外交斡旋"", ""impact_target"": ""Captain America"", ""order"": -0.1, ""cohesion"": 0.6, ""trust"": 0.3}, ""Force"": {""name"": ""武力清剿"", ""impact_target"": ""Punisher"", ""order"": 0.7, ""cohesion"": 0.1, ""trust"": -0.5}}",基于法律框架的战术决策者，优先保护平民，但易因道德原则与团队产生分歧。
"FURY, COL. NICHOLAS",尼克·弗瑞,大局至上|信息控制|备用计划,战略部署|资源调配|危机预判,过度保密|单边决策|信任赤字,0.8,-0.3,外星入侵引发民众恐慌暴乱，同时复仇者因应对策略分歧陷入内讧危机。,"{""Tech"": {""name"": ""科技干预"", ""impact_target"": ""TONY_STARK"", ""order"": 0.5, ""cohesion"": -0.2, ""trust"": 0.1}, ""Diplomacy"": {""name"": ""外交斡旋"", ""impact_target"": ""STEVE_ROGERS"", ""order"": -0.1, ""cohesion"": 0.6, ""trust"": 0.3}, ""Force"": {""name"": ""武力清剿"", ""impact_target"": ""NATASHA_ROMANOFF"", ""order"": 0.7, ""cohesion"": 0.1, ""trust"": -0.5}}",基于信息不对等的实用主义决策者，倾向牺牲短期信任换取长期战略优势。
BLACK WIDOW/NATASHA,黑寡妇/娜塔莎·罗曼诺夫,忠诚至上|任务优先|团队协作,情报渗透|近身格斗|战术欺骗,情感干扰|道德困境|信任缺失,0.8,0.3,外星入侵引发民众暴乱，复仇者内部分裂，需同时应对危机与内部冲突。,"{""Tech"": {""name"": ""科技干预"", ""impact_target"": ""IRON MAN"", ""order"": 0.5, ""cohesion"": -0.2, ""trust"": 0.1}, ""Diplomacy"": {""name"": ""外交斡旋"", ""impact_target"": ""CAPTAIN AMERICA"", ""order"": -0.1, ""cohesion"": 0.6, ""trust"": 0.3}, ""Force"": {""name"": ""武力清剿"", ""impact_target"": ""HAWKEYE"", ""order"": 0.7, ""cohesion"": 0.1, ""trust"": -0.5}}",基于情报与战术分析，优先执行任务，但易受情感与道德因素干扰决策。
"JAMESON, J. JONAH",J·乔纳·詹姆森,新闻真相|公众监督|反英雄主义,舆论操控|信息收集|媒体曝光,固执己见|情绪偏激|信任缺失,0.3,0.8,外星入侵引发民众暴乱，詹姆森通过媒体煽动反英雄情绪加剧危机,"{""Tech"": {""name"": ""科技干预"", ""impact_target"": ""SPIDER-MAN"", ""order"": 0.5, ""cohesion"": -0.2, ""trust"": 0.1}, ""Diplomacy"": {""name"": ""外交斡旋"", ""impact_target"": ""CAPTAIN_AMERICA"", ""order"": -0.1, ""cohesion"": 0.6, ""trust"": 0.3}, ""Force"": {""name"": ""武力清剿"", ""impact_target"": ""IRON_MAN"", ""order"": 0.7, ""cohesion"": 0.1, ""trust"": -0.5}}",决策基于媒体议程设定，常以煽动性言论破坏英雄公信力
QUICKSILVER/PIETRO M,快银/皮特罗·马克西莫夫,速度至上|家庭第一|行动优先,高速突袭|战场机动|快速侦察,冲动决策|耐力有限|团队协调弱,-0.3,0.8,外星入侵引发民众暴乱，复仇者内部分歧加剧危机处置难度。,"{""Tech"": {""name"": ""科技干预"", ""impact_target"": ""IRON_MAN"", ""order"": 0.5, ""cohesion"": -0.2, ""trust"": 0.1}, ""Diplomacy"": {""name"": ""外交斡旋"", ""impact_target"": ""CAPTAIN_AMERICA"", ""order"": -0.1, ""cohesion"": 0.6, ""trust"": 0.3}, ""Force"": {""name"": ""武力清剿"", ""impact_target"": ""HAWKEYE"", ""order"": 0.7, ""cohesion"": 0.1, ""trust"": -0.5}}",决策模式偏向直觉驱动，高速行动能力突出，但战略规划与风险评估不足。
BLACK KNIGHT V/DANE,黑骑士五世/戴恩·惠特曼,骑士荣誉|血统责任|魔法克制,近战格斗|魔法武器|战术分析,血统诅咒|道德挣扎|孤立倾向,0.3,0.7,外星入侵引发民众暴乱，复仇者内部分裂，黑骑士五世需平衡秩序与正义。,"{""Tech"": {""name"": ""科技干预"", ""impact_target"": ""IRON MAN"", ""order"": 0.5, ""cohesion"": -0.2, ""trust"": 0.1}, ""Diplomacy"": {""name"": ""外交斡旋"", ""impact_target"": ""CAPTAIN AMERICA"", ""order"": -0.1, ""cohesion"": 0.6, ""trust"": 0.3}, ""Force"": {""name"": ""武力清剿"", ""impact_target"": ""THOR"", ""order"": 0.7, ""cohesion"": 0.1, ""trust"": -0.5}}",决策基于骑士荣誉与血统责任，倾向独立行动，但受魔法诅咒影响稳定性。
BLACK PANTHER/T'CHAL,黑豹/特查拉,瓦坎达至上|传统守护|责任担当,振金科技|近身格斗|战略领导,国家优先|传统束缚|外交谨慎,0.3,0.8,外星入侵引发瓦坎达民众暴乱，复仇者内部分歧加剧危机。,"{""Tech"": {""name"": ""科技干预"", ""impact_target"": ""IRON MAN"", ""order"": 0.5, ""cohesion"": -0.2, ""trust"": 0.1}, ""Diplomacy"": {""name"": ""外交斡旋"", ""impact_target"": ""CAPTAIN AMERICA"", ""order"": -0.1, ""cohesion"": 0.6, ""trust"": 0.3}, ""Force"": {""name"": ""武力清剿"", ""impact_target"": ""THOR"", ""order"": 0.7, ""cohesion"": 0.1, ""trust"": -0.5}}",决策以瓦坎达国家利益为核心，平衡传统与现代，外交谨慎但必要时果断。
"CAGE, LUKE/CARL LUCA",卢克·凯奇/卡尔·卢卡斯,社区守护|平民优先|街头正义,物理防御|近身格斗|战术掩护,体制不信任|情绪冲动|战术单一,-0.3,0.8,外星入侵引发哈莱姆区民众恐慌暴乱，需同时应对威胁与安抚社区。,"{""Tech"": {""name"": ""科技干预"", ""impact_target"": ""IRON MAN"", ""order"": 0.5, ""cohesion"": -0.2, ""trust"": 0.1}, ""Diplomacy"": {""name"": ""外交斡旋"", ""impact_target"": ""CAPTAIN AMERICA"", ""order"": -0.1, ""cohesion"": 0.6, ""trust"": 0.3}, ""Force"": {""name"": ""武力清剿"", ""impact_target"": ""HAWKEYE"", ""order"": 0.7, ""cohesion"": 0.1, ""trust"": -0.5}}",决策基于社区保护本能，战术选择偏向直接干预，缺乏宏观战略协调。
USAGENT/CAPTAIN JOHN,美国特工/约翰·沃克,国家至上|绝对服从|荣誉准则,战术指挥|近身格斗|武器精通,情绪失控|过度暴力|信任缺失,0.8,-0.3,外星入侵引发民众暴乱，复仇者内部分歧加剧，沃克奉命镇压混乱。,"{""Tech"": {""name"": ""科技干预"", ""impact_target"": ""Iron Man"", ""order"": 0.5, ""cohesion"": -0.2, ""trust"": 0.1}, ""Diplomacy"": {""name"": ""外交斡旋"", ""impact_target"": ""Captain America"", ""order"": -0.1, ""cohesion"": 0.6, ""trust"": 0.3}, ""Force"": {""name"": ""武力清剿"", ""impact_target"": ""Falcon"", ""order"": 0.7, ""cohesion"": 0.1, ""trust"": -0.5}}",决策模式基于军事化服从，易受情绪驱动，导致战术与道德失衡。
FALCON/SAM WILSON,猎鹰/山姆·威尔逊,忠诚伙伴|平民优先|道德坚守,空中侦察|团队协调|战术机动,装备依赖|道德约束|非超人类,0.3,0.6,外星入侵引发民众恐慌暴乱，复仇者内部分歧加剧危机应对难度。,"{""Tech"": {""name"": ""科技干预"", ""impact_target"": ""IRON MAN"", ""order"": 0.5, ""cohesion"": -0.2, ""trust"": 0.1}, ""Diplomacy"": {""name"": ""外交斡旋"", ""impact_target"": ""CAPTAIN AMERICA"", ""order"": -0.1, ""cohesion"": 0.6, ""trust"": 0.3}, ""Force"": {""name"": ""武力清剿"", ""impact_target"": ""WINTER SOLDIER"", ""order"": 0.7, ""cohesion"": 0.1, ""trust"": -0.5}}",决策基于道德框架与团队协作，优先平民安全，但受装备与常规能力限制。
BINARY/CAROL DANVERS,二进制/卡罗尔·丹弗斯,绝对正义|自我牺牲|星际责任,能量投射|星际导航|战术突袭,情绪失控|过度自信|孤立倾向,0.3,0.8,斯克鲁人伪装复仇者引发内讧，同时煽动民众暴乱，制造复合危机。,"{""Tech"": {""name"": ""科技干预"", ""impact_target"": ""IRON_MAN"", ""order"": 0.5, ""cohesion"": -0.2, ""trust"": 0.1}, ""Diplomacy"": {""name"": ""外交斡旋"", ""impact_target"": ""CAPTAIN_AMERICA"", ""order"": -0.1, ""cohesion"": 0.6, ""trust"": 0.3}, ""Force"": {""name"": ""武力清剿"", ""impact_target"": ""THOR"", ""order"": 0.7, ""cohesion"": 0.1, ""trust"": -0.5}}",决策模式偏向直觉驱动型，风险评估不足，易引发战术连锁反应。
CAPTAIN MARVEL II/MO,惊奇队长II/莫妮卡·兰博,守护地球|团队协作|科学理性,能量操控|战略分析|跨维度感知,情感波动|过度理性|信任危机,0.3,0.7,外星入侵引发民众恐慌，复仇者内部分歧加剧，形成复合危机。,"{""Tech"": {""name"": ""科技干预"", ""impact_target"": ""IRON MAN"", ""order"": 0.5, ""cohesion"": -0.2, ""trust"": 0.1}, ""Diplomacy"": {""name"": ""外交斡旋"", ""impact_target"": ""CAPTAIN AMERICA"", ""order"": -0.1, ""cohesion"": 0.6, ""trust"": 0.3}, ""Force"": {""name"": ""武力清剿"", ""impact_target"": ""THOR"", ""order"": 0.7, ""cohesion"": 0.1, ""trust"": -0.5}}",基于数据驱动的决策模式，倾向于平衡战术效率与道德考量。
UATU,观察者乌阿图,绝对中立|不干预主义|宇宙观察,全知视角|时空感知|信息收集,被动观察|行动禁忌|情感隔离,-0.9,0.8,外星入侵引发复仇者内讧，民众恐慌暴乱，乌阿图观察但不干预,"{""Tech"": {""name"": ""科技干预"", ""impact_target"": ""Iron Man"", ""order"": 0.0, ""cohesion"": 0.0, ""trust"": 0.0}, ""Diplomacy"": {""name"": ""外交斡旋"", ""impact_target"": ""Captain America"", ""order"": 0.0, ""cohesion"": 0.0, ""trust"": 0.0}, ""Force"": {""name"": ""武力清剿"", ""impact_target"": ""Thor"", ""order"": 0.0, ""cohesion"": 0.0, ""trust"": 0.0}}",绝对中立观察者，决策基于宇宙平衡，无主动干预倾向
"DUGAN, TIMOTHY ALOYI",蒂莫西·阿洛伊·杜根,忠诚至上|团队优先|纪律严明,战术指挥|情报分析|危机协调,过度谨慎|缺乏变通|情感疏离,0.8,-0.3,外星入侵引发民众暴乱，复仇者内部分歧加剧，需协调多方应对。,"{""Tech"": {""name"": ""科技干预"", ""impact_target"": ""IRON_MAN"", ""order"": 0.5, ""cohesion"": -0.2, ""trust"": 0.1}, ""Diplomacy"": {""name"": ""外交斡旋"", ""impact_target"": ""CAPTAIN_AMERICA"", ""order"": -0.1, ""cohesion"": 0.6, ""trust"": 0.3}, ""Force"": {""name"": ""武力清剿"", ""impact_target"": ""THOR"", ""order"": 0.7, ""cohesion"": 0.1, ""trust"": -0.5}}",决策模式基于结构化风险评估，偏好层级协调，但灵活性不足。
"NELSON, FRANKLIN FOG",富兰克林·福格·纳尔逊,法律至上|程序正义|责任担当,法律策略|危机谈判|战术分析,道德洁癖|程序僵化|情感疏离,0.3,0.6,外星入侵引发民众暴乱，复仇者内部分歧加剧，需同时应对内外危机。,"{""Tech"": {""name"": ""科技干预"", ""impact_target"": ""IRON_MAN"", ""order"": 0.5, ""cohesion"": -0.2, ""trust"": 0.1}, ""Diplomacy"": {""name"": ""外交斡旋"", ""impact_target"": ""CAPTAIN_AMERICA"", ""order"": -0.1, ""cohesion"": 0.6, ""trust"": 0.3}, ""Force"": {""name"": ""武力清剿"", ""impact_target"": ""HAWKEYE"", ""order"": 0.7, ""cohesion"": 0.1, ""trust"": -0.5}}",决策高度依赖法律框架，在危机中倾向于程序化应对，但灵活性不足。
"PARKER, MAY",梅·帕克,家庭至上|社区守护|平民安全,危机协调|资源调配|后勤支援,非战斗人员|情感脆弱|法律限制,0.3,0.8,外星入侵引发民众暴乱，复仇者内讧导致疏散受阻，平民伤亡风险激增。,"{""Tech"": {""name"": ""科技干预"", ""impact_target"": ""SPIDER-MAN"", ""order"": 0.5, ""cohesion"": -0.2, ""trust"": 0.1}, ""Diplomacy"": {""name"": ""外交斡旋"", ""impact_target"": ""IRON MAN"", ""order"": -0.1, ""cohesion"": 0.6, ""trust"": 0.3}, ""Force"": {""name"": ""武力清剿"", ""impact_target"": ""CAPTAIN AMERICA"", ""order"": 0.7, ""cohesion"": 0.1, ""trust"": -0.5}}",决策模式基于情感驱动与平民保护优先，战术风险规避倾向显著。
STARFOX/EROS,星狐/厄洛斯,情感共鸣|和平至上|团队协作,心灵安抚|外交调解|战术支援,武力克制|道德约束|情绪敏感,-0.3,0.8,外星入侵引发民众恐慌暴乱，复仇者内部分歧加剧，星狐需调解冲突并稳定秩序。,"{""Tech"": {""name"": ""科技干预"", ""impact_target"": ""IRON_MAN"", ""order"": 0.5, ""cohesion"": -0.2, ""trust"": 0.1}, ""Diplomacy"": {""name"": ""外交斡旋"", ""impact_target"": ""CAPTAIN_AMERICA"", ""order"": -0.1, ""cohesion"": 0.6, ""trust"": 0.3}, ""Force"": {""name"": ""武力清剿"", ""impact_target"": ""THOR"", ""order"": 0.7, ""cohesion"": 0.1, ""trust"": -0.5}}",决策基于情感共情与和平主义，优先非暴力调解，但易受情绪波动影响战术判断。
KARNAK [INHUMAN],卡尔纳克,绝对忠诚|牺牲奉献|荣誉至上,战术预判|精准打击|防御部署,情感干扰|规则束缚|资源依赖,0.8,-0.3,外星入侵引发民众暴乱，复仇者内部分歧加剧危机处理难度。,"{""Tech"": {""name"": ""科技干预"", ""impact_target"": ""IRON_MAN"", ""order"": 0.5, ""cohesion"": -0.2, ""trust"": 0.1}, ""Diplomacy"": {""name"": ""外交斡旋"", ""impact_target"": ""CAPTAIN_AMERICA"", ""order"": -0.1, ""cohesion"": 0.6, ""trust"": 0.3}, ""Force"": {""name"": ""武力清剿"", ""impact_target"": ""THOR"", ""order"": 0.7, ""cohesion"": 0.1, ""trust"": -0.5}}",决策基于战术逻辑与忠诚准则，但易受情感因素与规则约束影响。
BLACK BOLT/BLACKANTO,黑蝠王/布莱克·博尔特,王权至上|沉默威慑|责任担当,音波摧毁|战略威慑|皇室领导,言语限制|孤僻性格|皇室负担,0.8,-0.3,外星入侵引发民众暴乱，黑蝠王需在保护平民与威慑敌人间平衡决策。,"{""Tech"": {""name"": ""科技干预"", ""impact_target"": ""IRON MAN"", ""order"": 0.5, ""cohesion"": -0.2, ""trust"": 0.1}, ""Diplomacy"": {""name"": ""外交斡旋"", ""impact_target"": ""CAPTAIN AMERICA"", ""order"": -0.1, ""cohesion"": 0.6, ""trust"": 0.3}, ""Force"": {""name"": ""武力清剿"", ""impact_target"": ""THOR"", ""order"": 0.7, ""cohesion"": 0.1, ""trust"": -0.5}}",决策基于王权责任与威慑平衡，倾向保守但必要时果断使用武力。
